,标题,总价格,单价,地段,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,户型介绍,装修描述,税费解析,周边配套,售房详情,交通出行,适宜人群,权属抵押,用水类型,用电类型
452,['交道口北二条35号院 1室1厅 南'],665,158108,"['东城', '交道口']",1室1厅1厨1卫,中楼层 (共6层),42.06㎡,平层,暂无数据,板楼,南,混合结构,精装,暂无数据,集中供暖,无,2023-09-12,商品房,2017-04-10,普通住宅,满五年,非共有,"
                                有抵押 300万元 招商银行 客户偿还
                              ",已上传房本照片,,,,,,,,,,,,
453,['景泰西里西区，无遮挡，精装修，朝南一室一厅'],488,80290,"['东城', '永定门']",1室1厅1厨1卫,中楼层 (共8层),60.78㎡,平层,51.2㎡,板塔结合,南,钢混结构,精装,一梯四户,自供暖,有,2023-02-16,商品房,2019-10-22,普通住宅,满两年,非共有,"
                                有抵押 80万元 业主自还
                              ",已上传房本照片,"
                    2020年精装修，小区中间位置，视野采光一级棒，商品房出售
                  ","
                    小区是2005年建成的回迁房社区，人车分流，有地下车库，24小时保安值班，管理完善，已成立 业委会
                  ",,,,"
                    区距离天坛公园1200米（来源于百度地图）休闲时遛弯健身的好去处；就医有友谊医院、东方医院等三甲医院；购物有百荣商场、新世界购物广场；菜市场有悠惠万家生鲜、宝华里菜市场；商城有百荣世贸商城，方庄购物广场等。
                  ",,"
                    小区往北480米（百度测距）14号线地铁的景泰站D口，有公交525路.610路.7路.运通102路.特11路等，出行很便利！
                  ","
                    本房位置距离地铁14号线景泰站480米（来源于百度地图），适合上班的年轻人，乘坐地铁方便；房子带电梯，也适合老人孩子住。
                  ",,,
454,['潘家坡胡同4号院 2室1厅 南 北'],599,109009,"['东城', '朝阳门外']",2室1厅1厨1卫,中楼层 (共5层),54.95㎡,平层,暂无数据,板楼,南 北,混合结构,精装,暂无数据,集中供暖,无,2023-10-22,商品房,2015-07-07,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,,,,,,,,,
455,['朝东方正一居室 无遮挡 精装修 有电梯 近地铁'],618,99662,"['东城', '广渠门']",1室1厅1厨1卫,低楼层 (共22层),62.01㎡,平层,49.79㎡,塔楼,东,钢混结构,简装,三梯十二户,集中供暖,有,2023-10-10,二类经济适用房,2016-12-19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一，格局方正，没有抵押，采光充足，无任何遮挡
                  ","
                    2004年的房子 共5栋楼 3栋商品 2栋回迁 小区安静 24小时保安 物业管理规范，小区物业是开兴辰物业，物业费1.5元/月。
                  ",,,,"
                    小区的北边是一个大公园—庆丰公园，闲来没事的话可以去公园溜溜弯，也是一种不错的选择，南边是崇文门菜市场，旁边还有六壹广场，买菜购物都是不错的选择。
                  ",,"
                    小区的公交站有两个，广渠门和马圈车站，交通方便，地铁的话有7号线广渠门外站，小区的西边就是东二环，南边有广渠门内大街和广渠门外大街，平时出行比较便利。
                  ",,,,
456,['精装 满两年 只有契税 方便看 诚意出售'],775,109634,"['东城', '广渠门']",1室1厅1厨1卫,高楼层 (共22层),70.69㎡,平层,暂无数据,塔楼,东,钢混结构,精装,四梯十户,集中供暖,有,2023-07-10,商品房,2019-09-25,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    户型方正无浪费 视野开阔 采光充足 配套设施齐全 交通便利
                  ","
                    2013年的商品房 国企国瑞兴业开发商，独栋独院，小区封闭式管理 人车分流 门口24小时保安 管理严格，小区总户数220户，所以出房比较少，车位充足，物业费4.98元，集中供暖（24元/平），水费5元/吨，燃气2.61/m³。
                  ",,,,,,"
                    房子位于东城区广渠门商圈 配套齐全 崇文门菜市场 公交站有两站 广渠门和马圈车站 地铁的有7号线广渠门外和规划施工中的17号线
                  ","
                    孕婴老幼，人车分流，人文环境好，房子有电梯，有崇文门菜市场，卫生院
                  ",,,
457,['后永康胡同2号院4号院 朝东 无遮挡 满五唯一随时签约'],479,110983,"['东城', '东直门']",1室1厅1厨1卫,高楼层 (共6层),43.16㎡,平层,暂无数据,板楼,东,混合结构,精装,暂无数据,集中供暖,无,2023-06-23,商品房,2019-12-30,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房朝东，高楼层，视野好，采光充足，总价低，诚意出售，随时签
                  ","
                    小区有环境，三栋楼，这个楼是相对比较新的楼，供暖好，30/平米/供暖季，社区老住户居多人文环境好。
                  ",,,,"
                    公园：小区东边300米就是难关公园，小区北边还有地坛公园；
地铁：北新桥站5号线，机场快轨；东直门站2号线、机场快轨、13号线；
商场：东直门来福士；银座MALL
商超：美廉美超市
                  ","
                    售房原因：业主一直自主房子保持的很好，现在卖房是为了改善换房。
房屋现状：提前预约基本都能看房。
                  ",,,"
                    房子没有任何抵押，产权清晰没有任何纠纷，改善家里人都同意出售。
                  ",,
458,['六铺炕小区，优质全南2居，业主诚心出售！'],710,116681,"['东城', '安定门']",2室1厅1厨1卫,底层 (共16层),60.85㎡,平层,暂无数据,塔楼,南,钢混结构,简装,两梯七户,集中供暖,有,2023-09-18,商品房,2022-03-04,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    中轴路西侧=六铺炕两居室=水电部高职楼=鼓楼大街地铁站向北走
                  ","
                    房屋产权：房子为商品房 税费：首套购房1%契税，二套购房3%契税 税费低廉，购房成本低
                  ","
                    人文环境好，配套齐全、贷款方式不限，适合有老人采光好，适宜居住，老幼皆宜
                  ",,,,"
                    售房原因：变现， 特殊需求：无特殊要求，客户贷款公积金全款都可以，也给可以给周期， 房屋现状：看房提前联系，随时可以签约，
                  ",,"
                    水电部单位的福利分房，院里共两栋楼，居住的都是中水电单位的干部，人文素质高，环境优美，邻里和睦，单位自管的首华物业，管理负责用心
                  ",,,
459,['安外花园中间层两居室，采光好，挨着公园'],600,103395,"['东城', '和平里']",2室1厅1厨1卫,中楼层 (共6层),58.03㎡,平层,暂无数据,板楼,南 北,混合结构,毛坯,暂无数据,集中供暖,无,2023-08-31,商品房,2023-08-29,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    房子中层采光好，南北通透2居，1990年楼龄，近地铁！
                  ","
                    户型 可 改造。小区共计10栋住宅楼，其中1栋电梯楼，9栋5-6层小板楼，共计821户，整体密度低，居住舒适。小区近地坛公园北门以及三甲医院和平里医院。近地铁5号楼和平里北街站。
                  ",,,,"
                    小区步行到地坛公园北门大约360米（近青年湖公园，柳荫公园，北2环护城河景观带）；小区步行到地铁5号线和平里北街站大约700米；小区步行到三甲医院和平里医院大约500米（近煤炭总医院，中日友好医院，安贞医院）；小区步行到东单菜市场.
                  ",,,"
                    户型可重新设计。房子位于公园旁边，地坛公园老人遛弯散步都有去处近地铁5号线和平里北街站小区四周多条公交线路出行便捷
                  ",,,
460,['西营房胡同9号院 正规一居室 没有遮挡 光线好'],530,94728,"['东城', '安定门']",1室1厅1厨1卫,中楼层 (共19层),55.95㎡,平层,暂无数据,塔楼,西,钢混结构,简装,三梯十二户,自供暖,有,2023-10-04,商品房,2022-07-22,普通住宅,未满两年,非共有,"
                                有抵押 460万元 460 业主自还
                              ",已上传房本照片,"
                    楼龄新2006年，可以公积金贷款25年，小区位置好交通便利
                  ","
                    西营房小区的位置是东城区安定门桥西北方位，位于北二环和北三环之间，属于安定门商圈。小区2006年所建，小区一共四栋楼，小区有租赁车位100元/月，小区不临街，出行便利，小区干净整洁，有电梯，电梯直达，电梯24小时运行。
                  ",,,,,,"
                    小区东南方位是地铁2号线安定门站，走路639米左右，小区西南方位是地铁8号线和2号线的换乘站鼓楼大街站走路大概900多米，27路总站在小区旁，咱们平常带孩子坐上此车直接就到动物园，小区旁边有4条主路：安外大街，鼓楼外大街，北二环，北三环主路。
                  ","
                    房子带电梯，老少皆宜，安定门的大一居室，带小孩也能住的开，客厅方正
                  ",,,
461,['东城区二环里电梯直达满五唯一诚意出售看房随时'],460,97520,"['东城', '天坛']",2室1厅1厨1卫,中楼层 (共12层),47.17㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,一梯三户,集中供暖,有,2023-11-13,商品房,2023-12-12,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    东城区二环里电梯直达满五唯一诚意出售看房随时不临街
                  ",,,,"
                    房子是满五年唯一，首套购买需要缴纳1%的契税，二套购买需要缴纳3%的契税，土地出让金736元。
                  ","
                    小区近天坛公园，生活和交通比较便利。小区旁有：阿兰菜馆、便宜坊烤鸭店、王老头炒货、天兴居、玉桥餐厅、花坛餐厅；北京银行，工商银行、交通银行；如家酒店、汉庭酒店；天坛公园、二十四节气公园、玉蜓公园。
                  ","
                    售房原因：业主家庭都同意出售本房，产权清晰，随时可以交易，置换。
                  ","
                    出小区北侧有地铁5号线天坛东门站和东侧路公交站：39路;43路;54路;128路;525路;623路;957路;958路;夜24路。开车向南直接上二环。
                  ",,,,
462,['广渠门内大街  文汇 有电梯 无遮挡 大两居'],595,90882,"['东城', '广渠门']",2室1厅1厨1卫,低楼层 (共14层),65.47㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯七户,集中供暖,有,2023-10-11,已购公房,2023-03-09,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    1. 便利性： 有电梯 ；2. 低楼层： 房子低楼层，老少皆宜；
                  ","
                    广内5号楼，1987年社区，小区就1栋楼，原为摩托车厂、起重机厂宿舍楼，建筑质量好
                  ","
                    双卧室南向，卧室空间大，北侧为客厅，厨房能打成开放式，客厅空间就会宽敞很多。
                  ",,,,,"
                    7号线、5号线、2号线、10号线；公交：525路、12路、8路、23路、715路；医院：同仁医院、北京医院、协和医院；超市：家乐福、物美超市；公园：天坛公园、龙潭湖公园、明城墙遗址公园等；商场：新世界、国瑞购物商场、SOHO 菜市场：乐家市场
                  ",,,,
463,['东城区 东南二环内 西南三居室'],516,84911,"['东城', '左安门']",3室1厅1厨1卫,底层 (共6层),60.77㎡,平层,暂无数据,板楼,西南,混合结构,简装,暂无数据,集中供暖,无,2023-10-19,已购公房,2023-03-09,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    东城区二环里龙体龙潭湖旁环境好满五唯一公房房本西南三居室
                  ","
                    小区安静，单独管理，一栋板楼，总高5层，户数少，出小区门口就是左安门内公交站，
                  ",,,,"
                    配套完善，有乐家优鲜和华联，银行有工商银行和邮储银行，公园有龙潭湖和龙潭中湖，医院有天坛医院，东方医院等
                  ",,"
                    小区交通方便，开车300米可以上二环，距离方庄地铁站800米，可以搭乘14号线地铁，左安门内公交站可搭乘可搭乘12路;84路[原684路];139路;352路;夜28路。
                  ",,,,
464,['东城区 和平里 小黄庄一区 诚心出售一居室 婚装'],580,124464,"['东城', '安贞']",1室1厅1厨1卫,中楼层 (共21层),46.6㎡,平层,暂无数据,板塔结合,东,混合结构,精装,两梯八户,集中供暖,有,2023-10-28,商品房,2022-08-22,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    高楼层，有电梯，采光视野无遮挡，1994年钢混楼，出行便利。
                  ","
                    小黄庄一区为大社区，人文素质高，小区内24小时物业管理，物业是燕厦物业。小区小区每个楼前都有花园供您遛弯，休闲的好地方。
                  ","
                    本房为正规一居室，本楼为塔楼，本房户型为整体朝东，主卧室朝东，客厅厨房朝东，明厨暗卫，客厅带阳台，格局有改动，灶台改到阳台，原灶台位置改为餐厅。客厅可摆放沙发电视。空间布局合理，无浪面积。
                  ",,,"
                    配套设施齐全，美廉美超市，多家银行，和平里医院，柳荫公园、外馆斜街与安外大街、青年沟路十字路口。多家餐饮。方便生活。
                  ",,"
                    小区位置临安外大街，多条交通路线，供您选择。楼下为小黄庄公交站，地铁2号线，5号线，10号线。出行便利。
                  ",,"
                    房子产权清晰，没有查封，占用，业主诚心出售，房本在手，可以随时签约。
                  ",,
465,['忠实里 东西通透两居室 采光好'],535,86865,"['东城', '广渠门']",2室1厅1厨1卫,中楼层 (共14层),61.59㎡,平层,暂无数据,板塔结合,东 西,混合结构,简装,三梯十六户,集中供暖,有,2023-10-14,商品房,2023-09-01,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    忠实里 东西通透两居室 采光好
                  ",,"
                    房子是80年代得两居室，东西通透得两居室，住着舒服，东向没有遮挡采光好
                  ",,,"
                    小区楼下有崇文门菜市场，物美。京客隆，华联等，地铁是7号线广渠门外站，医院有普仁医院，同仁医院，垂杨柳医院，银行有邮储银行，光大银行，北京等银行
                  ",,"
                    公交站是马圈站和广渠门站（有52路，29路，637路，特12路，路等）多路公交车通行，马圈站距离小区350米，（出自百度地图）广渠门站距离小区373米（出自百度地图）。开车出小区左转可以直接上二环路。距离地铁7号线广渠门外站190米（出自百度地图）。
                  ",,,,
466,['安静小区 南北通透 人员素质高'],540,96861,"['东城', '灯市口']",2室1厅1厨1卫,顶层 (共6层),55.75㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2022-12-29,商品房,2022-01-06,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    南北通透，前后无遮挡，通风效果好，交通便利，业主诚心出售
                  ","
                    本小区共计3栋楼，整个小区是1990年中国药材总公司建造的，其中2号楼4号楼为1990年就地回迁的房子，属于已购公房，6号楼为中国药材总公司的央产房，整个小区都是南北朝向，院内可以停车，先到先停，楼栋之间有绿化和休闲的地方，整体小区环境比较不错
                  ","
                    本房是1990年建成的，南北通透两居室，属于常见的八零筑二格局，南北各一个卧室，厨房卫生间相对，进门一个小客厅，整体格局无浪费面积
                  ",,,"
                    小区南侧是首都剧场，西北侧是中国美术馆，东北侧是隆福寺商场，南侧有灯小，北侧是地铁8号线沿线美术馆站，隆福寺医院等，出行，购物，医疗，方便
                  ",,,,,,
467,['社科院宿舍，满五年，高层南北通透，无遮挡视'],990,110086,"['东城', '建国门内']",3室1厅1厨1卫,高楼层 (共16层),89.93㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯七户,集中供暖,有,2023-10-25,已购公房,2023-10-12,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    南北通透三居室，明厨明卫，高层视野好，业主诚意出售，带电梯
                  ","
                    本小区是社会科学院家属院，居住人群大多数是社科院老师，人文环境好，居民素质高，小区已完成改造，更换了上下水管道，并且增加了外墙保温
                  ","
                    正规三居室，明厨明卫，南北通透户型，南、北、西三面采光，通风效果好
                  ",,,,"
                    业主处理财产，单纯变现，诚意出售，无抵押无查封，有意向可以接受面谈
                  ",,,"
                    房子没有抵押，产权清晰，无纠纷，无查封，无异议登记，诚意出售
                  ",,
468,['东直门外带大客厅的两居室，高楼层，无遮挡，采光通风'],600,91716,"['东城', '东直门']",3室1厅1厨1卫,中楼层 (共16层),65.42㎡,平层,58㎡,塔楼,西南 北,钢混结构,简装,两梯七户,集中供暖,有,2023-06-09,商品房,2022-10-20,普通住宅,未满两年,非共有,"
                                有抵押 583万元 交通银行
                              ",已上传房本照片,"
                    东直门 东南北朝向三居改两居户型 满五年不唯一
                  ",,"
                    此房是南北朝向的一居。主卧室还有南向阳台。小卧室朝北带阳台。明厨暗卫
                  ",,,"
                    小区位于东直门桥东侧，娱乐购物有来福士、银座、三里屯、等商城，医院有东直门医院、陆军医院，煤炭医院，生活购物有小关菜市场，休闲遛弯东侧有北京市政公园，购物、饮食、医疗给您的生活提供便利。
                  ",,"
                    东直门外大街，小区距离东直门交通枢纽930米，地铁是东直门地铁，是 2号线、13号线、机场快轨的换乘站，交通便利。小区北侧是机场高速，驾车到机场高速入口1公里距离。以上距离数据来自百度地图。
                  ",,,,
469,['楼龄新，大客厅半落地窗，楼道干净'],1089,118126,"['东城', '和平里']",2室1厅1厨1卫,中楼层 (共15层),92.19㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,两梯九户,集中供暖,有,2023-10-12,商品房,2023-10-10,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    南北大客厅，电梯直达，近地铁公交站
                  ",,,,,"
                    购物有美廉美，盒马生鲜，还有日日生鲜，购物便利，门口还有各大银行，如交通银行，工商银行，中国银行等，医院有和平里医院，煤炭医院，中日友好医院，安贞医院等，公园有地坛公园。
                  ","
                    房子是两个孩子继承，现在业主不在这边住了，诚心出售，业主人很好
                  ","
                    本社区位于东北二环，，地铁有13号柳芳站和5号线和平里北街站，小区门口有多条公交线路，674路，684路，13路，117路，特16路等，出行便利。
                  ",,,,
470,['东城区次新房百荣嘉园 精装朝南三居满五年唯一 中间层'],668,81128,"['东城', '永定门']",3室1厅1厨1卫,中楼层 (共21层),82.34㎡,平层,66.3㎡,板塔结合,南,钢混结构,精装,两梯九户,集中供暖,有,2023-09-15,商品房,2023-09-11,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    本房满五唯一，精装修，拎包入住，随时签约
                  ","
                    小区是北京鼎能置业开发，2015年交房，小区一共四栋楼，1700多户，小区大部分都是两梯6户，市政集中供暖，供暖费用24元/平米，物业费1.59元/平米，小区地下停车，地下停车费用400元/月，小区的北侧就是西革新里城市休闲公园，每天吃完饭遛弯散步是不错的选择
                  ",,,"
                    房子是满五年唯一，交易有契税（首套1%、二套3%），节省购房成本。
                  ","
                    本小区位于南二环外永定门外板块，属于成熟地段，生活配套完善。 小区步行距离995米到百荣世贸商城，步行692米到美家超市，步行479米到菜篮子超市。（以上数据高德地图测量）
                  ",,"
                    小区交通出行方便，位于中轴路以西，公共交通有公交站沙子口站(2路，71路，72路，93路，120路，849路，943路，快速公交1号线，北京南站南广场免费摆渡车等),地铁永定门外站[地铁14号线（张郭庄-善各庄),地铁8号线（朱辛庄-瀛海),2021年年底已经全线贯通
                  ",,,,
471,['朗家胡同24号院带20平客厅，满五唯一央产'],639,138402,"['东城', '安定门']",2室1厅1厨1卫,底层 (共6层),46.17㎡,平层,暂无数据,板楼,南,砖混结构,简装,暂无数据,集中供暖,无,2023-10-18,已购公房,2023-09-13,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房性质是满五年唯一央产房，手续齐全，采光充足，全南好户型。
                  ",,"
                    此房户型设计方正合理，朝向均朝南，厨房带窗户，带20平单位建的客厅，不会拆。
                  ",,"
                    房子没有异议登记，没有查封抵押等情况，产权人及家人都已同意出售房屋，产权清晰，可以随时签约。
                  ",,,"
                    小区距离2号线安定门站952米，距离2号线，5号线雍和宫站898米，距离公交车站安定门内站887米，有104路、108路、113路、124路、特11路等（均来自高德地图测绘）。
                  ","
                    此房低楼层适合老人小孩老人上下楼方便出门就能买菜小孩可以在小区里玩耍
                  ",,,
472,['东城 正义路 前门东大街 双朝南两居室 精装修拎包入住'],588,105471,"['东城', '前门']",2室0厅1厨1卫,中楼层 (共10层),55.75㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯六户,集中供暖,有,2023-11-23,已购公房,2001-12-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    楼层好 采光充足无遮挡 精装修两居室 前门东大街
                  ","
                    前门东大街小区是1979年建成的。小区13年做过楼外立面粉刷和改造，以及楼道、管道更换等。现在物业是天岳恒物业，首开旗下的，管理不错。小区是北京市电梯示范楼，建筑质量好
                  ",,,,"
                    交通：出小区大门就是正义路路口，往东走有崇文门地铁站2，5号线 医院：北京医院，同仁医院，协和医院，同仁堂中医院等 ：盒马鲜生，新世界商场，国瑞城商场，魔方，哈德门广场等。往西是前门地铁站
                  ",,"
                    交通有2号线、5号线换乘站崇文门地铁站，距小区366米，距5号线、7号线磁器口地铁站709米，500米范围内多条公交线路，交通出行十分便利（以上数据数据均来自高德地图）
                  ",,,,
473,['东城区 2009年商品房 车位充足 交通便利 满五唯一'],468,89862,"['东城', '广渠门']",1室0厅1厨1卫,顶层 (共23层),52.08㎡,平层,36.71㎡,塔楼,西,钢混结构,简装,七梯二十三户,集中供暖,有,2023-06-29,商品房,2015-12-02,普通住宅,满五年,非共有,"
                                有抵押 100万元 客户偿还
                              ",已上传房本照片,"
                    东城区 2009年商品房 车位充足 交通便利 视野采光好 满五唯一
                  ","
                    冠城名敦道2009年的商品房，小区位于广渠门桥东南角。小区分为A区和B区，本房在A区，A区共10栋楼，只有3栋楼是住宅，分别是2、4、7号楼，其中2号楼和4号楼物业费是3.9元㎡月；7号楼是3.8元㎡月，物业和保安24小时值班,本小区是开放式小区，物业管理不错
                  ","
                    朝西开间，无遮挡，中楼层，户型方正，2009年住宅社区，物业管理不错，楼道干净整洁。
                  ",,"
                    此房房本已经满五年,且是家庭唯一住房,正常贷款,只有1%或者3%的契税.
                  ","
                    小区楼下有3家24小时便利店，4家银行，2家咖啡馆（星巴克和漫咖啡），2家菜市场，生活购物便捷。距离小区西900米是家乐福，东1000米是物美和富力购物商场，买菜购物等都比较方便。（来自百度地图）
                  ",,"
                    冠城名敦道位于广渠门桥东南角，开车可直接上二环和广渠门外大街，小区步行408米可到达地铁七号线广渠门外站（来源百度地图），公交站有马圈站和广渠门站
                  ",,,,
474,['兴隆都市馨园 朝南 正对小区花园 户型方正'],370,136230,"['东城', '崇文门']",1室0厅1厨1卫,低楼层 (共7层),27.16㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯五十一户,集中供暖,有,2023-10-08,商品房,2021-09-13,普通住宅,满两年,非共有,"
                                有抵押 90万元 北京银行 客户偿还
                              ",已上传房本照片,"
                    此房满二年高原值 朝南对花园 户型方正
                  ","
                    此房为2004年的商品房小区小区管理严格，3栋楼独立的园区，只有一个出入口，24小时保安把守地下车库可从地下直接入户方便快捷冬天供暖方式为地暖居住体验温馨舒适
                  ",,,"
                    本房满二年，原值高，贷款客户只有契税，减少您的购房成本，业主诚意出售
                  ","
                    此房位于崇文门属于新世界商圈，交通便利，配套齐全。 医院：普仁医院、北京医院、协和医院等。 商场：新世界商场、国瑞城商场、搜秀购物。 娱乐：百老汇影城、天坛公园，东单公园
                  ",,"
                    兴隆都市馨园位于北京东城崇文门，交通便利，距离7号线桥湾站533米（根据百度地图测量所得），距离地铁5号线瓷器口站480米（根据百度地图测量所得），距离地铁2号线崇文门站700米（根据百度地图测量所得），另有多条公交线路，方便出行。
                  ",,,,
475,['东城 崇文门 兴隆都市馨园 中间楼层'],353,123773,"['东城', '崇文门']",1室0厅1厨1卫,中楼层 (共7层),28.52㎡,平层,暂无数据,板楼,北,钢混结构,精装,两梯五十三户,集中供暖,有,2023-10-04,商品房,2021-11-02,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    2004年新小区，集中供暖，中间层带电梯，采光无遮挡
                  ","
                    此房为2004年的商品房小区。小区管理严格，3栋楼封闭式管理，只有一个出入口，24小时保安把守。地下车库，可从地下直接入户，方便快捷。冬天供暖方式为地暖，居住体现温馨舒适。
                  ",,,,"
                    此房位于崇文门属于新世界商圈，交通便利，配套齐全。 医院：普仁医院、北京医院、协和医院、同仁堂医院等。 商场：新世界商场、国瑞城商场、搜秀购物。 娱乐：百老汇影城、天坛公园。东单公园。
                  ",,"
                    兴隆都市馨园位于北京东城崇文门，交通便利，距离7号线桥湾站533米（根据百度地图测量所得），距离地铁5号线磁器口站480米（根据百度地图测量所得），距离地铁2号线崇文门站700米（根据百度地图测量所得），另有多条公交线路，方便出行。
                  ","
                    总价低，适合想要在东城置业且预算不高的年轻人群购买，也适合二套房产在内城的人群。
                  ",,,
476,['景泰西里西区，正规朝南一室一厅'],465,77115,"['东城', '永定门']",1室1厅1厨1卫,底层 (共10层),60.3㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯四户,自供暖,有,2023-06-10,商品房,2023-06-10,普通住宅,未满两年,非共有,"
                                有抵押 100万元 公积金 业主自还
                              ",已上传房本照片,"
                    此房满五唯一商品房，全南向正规一室一厅，无遮挡采光好..
                  ","
                    景泰西里西区是2005年由央企中冶开发的，建筑质量好，钢混结构带电梯，总楼层地下12层，密度低，小区环境优雅，一共有16栋楼，每栋楼之间有开敞式花园，绿化好，人车分流管理，邻里关系和谐，生活气息浓厚。
                  ","
                    此房为正规南向一室一厅，前面有小块地自己种植的蔬菜，花草，很舒适。楼的位置比较好，小区最中间的楼，不临街无遮挡，采光通风都很好，客厅朝南有窗户，主卧朝南大阳台，厨房有窗户可以通风，卫生间面积比较大，可以做干湿分离，业主自住，产权清晰。
                  ",,"
                    此房为满五唯一商品房，首套1%契税，二套3%契税，税费少，购房成本少，适合各种类型的客户。
                  ","
                    小区自带底商，配套齐全，有便利店，水果店，温馨超市，菜市场，木樨园早市，银行，药店，鼓楼中医院，永定门人民医院等皆可步行可达，一站地到百荣世贸商城，方庄购物广场等生活便利，更有政府改造工程“望坛新苑”，天坛府商品房在建，配套未来可期。
                  ",,"
                    距离地铁14号线景泰站300米左右（来源于高德地图），一站式换乘5号线蒲黄榆站及8号线永定门站，三轨交汇，出小区北门安乐林路更有7/25路等公交车，交通出行十分便利。
                  ",,,,
477,['民旺园小区正规两居室靠谱出售。'],635,113556,"['东城', '和平里']",2室1厅1厨1卫,中楼层 (共6层),55.92㎡,平层,暂无数据,板楼,东 西,混合结构,简装,暂无数据,集中供暖,无,2023-10-24,已购公房,2023-10-20,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    本房正规两居室，户型方正，采光充足，业主靠谱出售
                  ",,,,,"
                    距离大型超市美廉美超市579米（来源百度地图），超市门口就是公交车站和平里南口站、13路、116、674、684、特16、夜28多条公交线路、距离地铁13号线柳芳站814米（来源百度地图）。交通生活很方便。
                  ",,"
                    出小区的南门往西是公交站和平里南口公交站牌，公交13路;116路;674路;684路;特16路 ，出行方便
                  ",,"
                    房子是业主个人产权，无抵押无查封，目前出租中，产权清晰，随时可以交易
                  ",,
478,['本家润园C区   朝东正规两居 不临街 采光好 楼下地铁'],579,91774,"['东城', '东花市']",2室1厅1厨1卫,低楼层 (共18层),63.09㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,三梯十四户,集中供暖,有,2023-10-18,商品房,2022-06-08,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房商品房本，没有土地出让金，正规东向两居，不临街，楼道干净
                  ","
                    本家润园C区是2005年建成的，一个大花园两栋楼三个大门，封闭式管理，人车分流，出入大门需要刷卡。小区里面有单独电动车车棚。物业是泰宇物业管理有限公司，物业费是1.1元平月，维修服务贴心，上门速度快，市政集中供暖效果好，冬天居家在屋里穿短袖。
                  ",,,,"
                    小区西门口出去是地铁7号线广渠门内站东北口，还有57路、525路、8路、12路等多条公交线路；小区楼下有东花市南里菜市场，向西走富贵园楼下是家乐福商场，购物方便；距离明城墙公园、龙潭公园、天坛公园都比较方便，公交直达；3千米内有同仁医院、北京医院
                  ",,"
                    距离小区西门口50米是7号线广渠门内站B口，8、12路环行、57路以及机场大巴西客站线等公交线路，停靠在广渠门内公交站，出行方便。小区南门出去是东花市南里菜市场，距离家乐福购物商场500米，配套齐全。有明城墙遗址公园、龙潭湖公园，天坛公园。
                  ","
                    小区2005年建成楼龄新距离7号线地铁广渠门内站200米的距离产权清晰适合刚需置业首付少需要贷款的客户距离学近
                  ","
                    本房无抵押，无占用，产权清晰，业主在京，诚心出售，可随时交易
                  ",,
