,标题,总价格,单价,地段,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,户型介绍,周边配套,税费解析,小区介绍,适宜人群,交通出行,装修描述,售房详情,权属抵押,用水类型,用电类型,燃气价格,别墅类型
550,['金善名居金善名居精装修两居单价低'],188,23176,"['怀柔', '怀柔']",2室1厅1厨1卫,顶层 (共6层),81.12㎡,平层,69.97㎡,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-02-08,商品房,2010-09-27,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    房屋南北通透，两室一厅，高楼层无遮挡，视野宽阔。
                  ","
                    南北通透格局采光好，精装修可拎包入住，客厅卧室朝阳，带独立餐厅。
                  ",,,"
                    小区为2008年的小区，楼间距大，均为6层的板楼，小区密度低，车位充足，停车方便。
                  ","
                    房子位于怀柔庙城，距离城区万达广场，中医院近，出行生活便利。
                  ",,,,,,,,
551,['东关二区三居室南北通透，交通、购物便利'],200,25189,"['怀柔', '怀柔']",3室1厅1厨1卫,顶层 (共6层),79.4㎡,平层,暂无数据,板楼,南 北,混合结构,其他,暂无数据,集中供暖,无,2022-05-28,已购公房,2021-06-17,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    房子是南北通透三居室 小区所在位置购物、交通、健身便利
                  ","
                    此房是高楼层采光好，南北通透三居室，南向两个卧室，北向一个卧室，客厅在中间
                  ","
                    有奥林匹克公园、街心公园、物美京北大世界、青春万达广场、望怀社区医院、怀柔区中医院。
                  ",,,,"
                    小区所在位置公交出行方便：有H61路、H62路、916路等等……
                  ",,,,,,,
552,['南华园二区  健身楼层  南北通透  带一个储物间'],269,26954,"['怀柔', '怀柔']",3室2厅1厨1卫,顶层 (共6层),99.8㎡,平层,暂无数据,板楼,东 南 北,混合结构,其他,暂无数据,集中供暖,暂无数据,2022-10-17,商品房,2020-11-02,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,"
                    此房11月中旬满二唯一南北通透格局好，视野宽阔，采光好
                  ","
                    两南一北的卧室布局，客厅在中间，客厅大适合摆放家具，南侧没有楼，视野很开阔
                  ",,,,"
                    本房目前出租中，采光好，两间南卧室的阳光从窗户直接到门口，适合居住
                  ",,"
                    简单装修，入手后需要新业主重新装修下，或者出租就不用装修了，没要求的可以直接入住
                  ","
                    业主想先卖掉这个房子，目前孩子刚上幼儿园，长大点再换中意的房子
                  ",,,,,
553,['金善名居，南北通透，2层，精装修'],205,26978,"['怀柔', '怀柔']",2室1厅1厨1卫,低楼层 (共6层),75.99㎡,平层,暂无数据,板楼,南 北,混合结构,其他,暂无数据,集中供暖,无,2023-03-11,商品房,2018-02-24,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年唯一，南北通透，视野无挡，采光良好。
                  ",,"
                    916快车，916慢车，H61,H62内外环线及区间车 商场：大星发大卖场，京北大世界，青春万达广场 公园：怀柔水库大坝，城区街心公园 医院：怀柔区中医院，怀柔妇幼保健医院，怀柔区医院，社区医院
                  ",,,"
                    本房适合诸多客户，房子楼层中低，老人小孩都适合居住，小区环境、停车、人文素质都好。
                  ",,,,"
                    房子产权清晰，无抵押无纠纷，随时看房随时可以交易，诚心卖期待有缘人
                  ",,,,
554,['怡安园小区南北通透三居室舒适二层出行及交通便利'],176,23306,"['怀柔', '怀柔']",3室1厅1厨1卫,低楼层 (共6层),75.52㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-06-04,商品房,2002-06-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    卖点：
此房格局好，采光好，视野佳，离京承高速近，交通方便..
                  ",,"
                    配套：
小区里面就有幼儿园，南门有超市，还有菜市场，有饭店，公园，生活配套很齐全。
                  ",,,"
                    适宜人群：
适合年轻人，上班族，进京方便，节省上下班的时间，停车位充足。
                  ","
                    交通出行：
小区距离京承高速14出口，比较近公交站庙城东有916路到东直门，866路公交到望京西。
                  ",,,,,,,
555,['此房满五唯一，南北通透三居室，阳光充裕'],255,23967,"['怀柔', '怀柔']",3室1厅1厨1卫,中楼层 (共5层),106.4㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,暂无数据,2022-08-21,商品房,2018-01-19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一，南北通透三居室，阳光充裕
                  ","
                    小区是2008年建成的，5层的平层，楼间距很大，光线不受遮挡；楼道内铺的地砖且有专人打扫，干净整洁；房间内南北卧室都很大；
                  ",,"
                    房子为商品房，已经满五唯一，契税首套购买1.5%；二套购买3%。
                  ","
                    小区位于怀柔桥梓，距京承高速13出口4.3KM（数据来自高德地图）,小区有平层、叠拼、双拼三种户型，绿化好，春有迎春玉兰竞相绽放，夏有小桥流水人家，风景优美四季不同，是个休养生息的好住所，车位充足。
                  ",,"
                    小区位于怀柔区桥梓镇，离京承高速宽沟出口4.3KM（数据来自高德地图）；小区外有多路公交车途径，有市区来的942路，有怀柔境内H38/H21/H27等多路公交车；交通便利。
                  ",,,,,,,
556,['小中富乐二区 南北三居室 诚心出售 看房方便'],275,31368,"['怀柔', '怀柔']",3室2厅1厨1卫,顶层 (共6层),87.67㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-10-22,商品房,2004-09-15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房业主诚心出售，看房方便，价格可以商量。
                  ","
                    此房户型为南北通透三居室，前后没有任何遮挡，采光和视野都很好，通风效果也很好。
                  ",,"
                    此房房本满五年，业主家庭名下在京只有这一套房子，首套购房只需要缴纳1%的契税，税费成本低。
                  ",,,,,"
                    本房业主卖房为了换房，诚心出售，把钥匙留给了链家，随时可以看房。价格也可以商量。
                  ",,,,,
557,['融城园南区 诚心出售 低价好房'],170,21079,"['怀柔', '怀柔']",3室1厅1厨1卫,顶层 (共6层),80.65㎡,平层,暂无数据,板楼,南 北,混合结构,其他,暂无数据,集中供暖,无,2022-05-23,商品房,2021-07-13,普通住宅,满两年,非共有,"
                                有抵押 120万元 兴业银行怀柔支行 客户偿还
                              ",已上传房本照片,"
                    主卧带阳台，客厅通阳台落地窗，价格低 诚意出售 看房方便
                  ","
                    主卧带阳台，客厅朝南落地窗 满五年 业主家庭名下就这一套房！
                  ","
                    大型商场，大星发大卖场，青春万达广场，京北大世界，新悦百货，生活购物方便 交 通：H61.H62.916快车,916区间车，H64,H55区间车 公 园：青春路公园，滨湖公园，滨湖万米健身公园
                  ",,"
                    小区楼间距大，环境优美，适合老人以及有孩子的家人居住 房子南北通透
                  ",,,,,,,,,
558,['凤瑞二园 南北通透格局好 交通便利'],178,25779,"['怀柔', '怀柔']",2室1厅1厨1卫,中楼层 (共6层),69.05㎡,平层,暂无数据,板楼,南 北,混合结构,其他,暂无数据,集中供暖,无,2023-11-17,商品房,2014-11-17,普通住宅,满五年,非共有,"
                                有抵押 80万元 公积金 业主自还
                              ",已上传房本照片,"
                    此房南北通透格局，采光好，视野开阔，户型方正没有浪费面积
                  ",,"
                    交通便利，有幼儿园，有商场，有菜市场，有医院，适合老人居住。
                  ",,"
                    凤瑞小区疫情期间做的外立面粉刷，整个小区看上去很干净，而且停车位也很充足，前后楼的间距也很大，丝毫不影响采光。最关键的是现在还是停车免费的。
                  ",,"
                    京承高速杨宋镇出口出来直行100米右转，距离数据来自百度地图。小区交通方便，H9路/H6路都可以到达怀柔城区。小区边就有高速入口，驾车去市区也方便
                  ",,,,,,,
559,['八龙桥雅苑 南北通透大三居 客厅通阳台'],278,26504,"['怀柔', '怀柔']",3室2厅1厨1卫,中楼层 (共5层),104.89㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2021-08-31,商品房,2016-03-02,普通住宅,满五年,非共有,"
                                有抵押 20万元 不详 业主自还
                              ",已上传房本照片,"
                    此房满五唯一，好楼层南北通透，采光好通风好户型好，楼龄新
                  ","
                    建成年代2006年，南北通透三居室，客厅朝南面，南侧一个卧室，北侧一个客卧，面宽大，采光充足
                  ",,,,"
                    小区东侧是大型市政公园，自然环境良好，南北通透，适合居住，老人，孩子，年轻人住起来都合适
                  ",,,"
                    房子是一手业主，一直自住，本次打算换房，所以卖房，看房比较方便
                  ",,,,,
560,['金台园小区，南北通透，2层 业主诚心出售'],240,30782,"['怀柔', '怀柔']",3室1厅1厨1卫,低楼层 (共6层),77.97㎡,平层,暂无数据,暂无数据,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-09-07,商品房,2002-08-27,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五不唯一，成本价1个点个税，南北通透，老三居格局
                  ",,"
                    小区门口有菜市场，生活便利。距离怀柔万达广场 大世界大概1千米左右；以及滨湖万米公园
                  ",,,"
                    楼层较低，三居室，适合家里有老人小孩的家庭，小区门口就有超市，生活方便
                  ","
                    小区交通便利，有多条公交线路。如H61  H62   以及916路公交车
                  ",,,,,,,
561,['怀柔县南华园四区 交通便利 配套齐全'],188,32611,"['怀柔', '怀柔']",2室1厅0厨0卫,底层 (共6层),57.65㎡,平层,暂无数据,板楼,南 北,混合结构,其他,暂无数据,集中供暖,无,2023-01-04,商品房,2016-01-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房卖点：南北通透格局好，楼层好，视野宽阔，价格能谈。
                  ","
                    户型介绍：此房南北通透的格局，两南一北，格局方正，此楼在小区内部，不临街的！
                  ","
                    公园：怀柔城市森林公园、第四次世界妇女大会纪念公园。商场：青春万达广场（怀柔店）、京北大世界、新悦百货。银行：兴业银行、工商银行、农业银行、光大银行、建设银行、北京银行。医院：北京中医医院怀柔医院、北京怀柔医院。
                  ",,,,"
                    公交：916路快车、H6路、H9路、H44路、H53路、H54路、H62路、郊80路、郊86路， 高速：京密高速、京承高速、通怀路、S5号线
                  ",,,,,,,
562,['柏泉庄园雁鸣园B区  南北通透  精装  业主诚意出售'],188,22196,"['怀柔', '怀柔']",2室1厅1厨1卫,中楼层 (共12层),84.7㎡,平层,暂无数据,板塔结合,南 北,未知结构,精装,两梯四户,集中供暖,有,2023-09-15,商品房,2020-06-03,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房朝南北户型，采光充足，电梯房，满五唯一精装修
                  ",,,"
                    回迁楼  房本满二年  差额个税  免征增值税   购房人交契税
                  ",,,,"
                    房屋为精装修，装修风格简约，目前是出租状态，简收拾可拎包即住。
                  ","
                    业主单纯售房，价格可谈，户型方正，采光充足，看房很方便，个人单独产权，产权清晰
                  ",,,,,
563,['梦想家园西区，南北通透，户型方正，业主诚心出售'],205,23167,"['怀柔', '怀柔']",2室1厅1厨1卫,顶层 (共14层),88.49㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,2022-09-07,商品房,2016-05-12,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一，电梯房，高楼层采光好景观房。精装修拎包入住。
                  ","
                    2015年小区，南北通透，客厅通阳台户型。电梯房高楼层采光好。
                  ",,,"
                    2015年小区，小区绿化好。停车方便，有地上车位，也有地下车位
                  ","
                    适合公积金贷款，适合年轻人首套购房。电梯房小区南侧有农贸市场也适合老人居住。
                  ",,,,,,,,
564,['环境优美，依山傍水，业主诚心出售，看房方便'],80,14368,"['怀柔', '怀柔其它']",2室1厅1厨1卫,低楼层 (共3层),55.68㎡,平层,暂无数据,板楼,南 北,混合结构,精装,暂无数据,集中供暖,暂无数据,2022-12-09,商品房,2007-10-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    小区环境优美，依山傍水，业主诚心出售，看房方便
                  ",,,,"
                    小区环境优美，依山傍水，配套齐全，有菜市场，有公园，看房方便
                  ","
                    家有老人：小区交通便利，配套齐全，有菜市场，不临街，环境优美
                  ",,,"
                    房屋现状：随时可以看房，业主随时可以签约，业主诚心出售，交通方便
                  ",,,,,
565,['顶秀美泉小镇C区此房满五，小区花园洋房社区，环境好'],275,30377,"['怀柔', '怀柔']",2室1厅1厨1卫,底层 (共5层),90.53㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,暂无数据,集中供暖,无,2023-02-25,商品房,2016-12-22,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    小区花园洋房社区，电梯刷卡直接入户管理严格，物业管理服务好
                  ",,"
                    银行：中国建设银行雁栖分行、中行栖美园分行、邮政储蓄银行、工商银行、医院：怀柔医院、怀柔中医院、怀柔雁栖医院；餐饮：眉州东坡酒楼、红螺园饭庄、小懒羊涮肉、农家乐、红酒庄园、雁栖不夜谷，鱼香来等。
                  ",,"
                    顶秀美泉小镇是怀柔区低密度生态小区，绿化像公园，ABC三区一共78栋住宅楼，总户数为2045户；物业为北京鸿路泽物业管理有限公司，小区24小时物业管理，A区C区物业费1.35元，B区3.5元；小区配套设施齐全，地库停车，车位充足
                  ",,"
                    小区门口就是京加路，小区北接雁栖湖，南达怀柔城区，门口就是公交站牌，有H18路、H29路、H31路、H43路、H58路、H64路、H67路；小区西北方向2000米即是S5号雁栖湖站，小区东南12公里是京沈高铁怀柔南站，向西1000米即京密高速入口（以上数据来源于百度地图）
                  ",,,,,,,
566,['柏泉庄园雁鸣园B区精装修两居室'],193,21794,"['怀柔', '怀柔']",2室1厅1厨1卫,高楼层 (共12层),88.56㎡,平层,72.57㎡,板塔结合,南 北,钢混结构,其他,一梯四户,集中供暖,有,2022-09-25,定向安置房,2015-09-28,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    南北通透格局好，视野开阔采光充足，配套齐全交通便利
                  ",,"
                    医院：距离北京市怀柔区燕栖医院1.1公里，距离北京市怀柔区妇幼保健院2.0公里，距离北京怀柔医院3.4公里； 公园：距离怀柔城市森林公园3.4公里，距离滨湖万米健身公园2.7公里； 购物便利。
                  ",,"
                    电梯板塔结合的高层，地上、地下停车位都比较充足；小区有三个出入口，北门供行人出行使用，东门西门供车辆出行，小区内有休闲娱乐设施，小区东侧是公园；物业费1.7-1.8元/平/月。小区环境优美，绿树成荫，公园健身设施皆有。
                  ",,"
                    小区门口就是京加路，小区北接雁栖湖，南达怀柔城区，门口就是公交站牌，有H79路、快速直达专线197路、小区西北方向1500米即是高铁雁栖湖站，向南13公里是京沈高铁怀柔南站，向西800米即京密高速入口。
                  ",,,,,,,
567,['富乐小区北里 南北通透 中间楼层'],248,28895,"['怀柔', '怀柔']",3室1厅1厨1卫,低楼层 (共6层),85.83㎡,平层,暂无数据,板楼,南 北,钢结构,简装,暂无数据,集中供暖,暂无数据,2022-06-04,已购公房,1999-11-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    南北通透三居室，二层出入方便，居住舒适，小区配套齐全
                  ",,"
                    商场：京北大世界，青春万达广场，大星发大卖场，京客隆 医院：怀柔区医院（怀柔区3甲医院），妇幼保健院，怀柔中医院，社区医院 公园：青春路公园，滨湖公园，万米公园，怀柔水库大坝 交通：916快车，916区间车，城区内环线H61,外环线H62区间车
                  ",,"
                    九七年代的小区，生活气息浓，挨着北斜街，生活配套齐全，生活便利
                  ",,"
                    交通方便：通往市内的916快车，916区间车，城区内环线H61,外环线H62及区间车
                  ",,,,,,,
568,['怡安园小区，看房方便，业主诚心出售。'],154,21283,"['怀柔', '怀柔']",3室1厅1厨1卫,顶层 (共6层),72.36㎡,平层,暂无数据,板楼,南 北,混合结构,其他,暂无数据,集中供暖,暂无数据,2023-06-05,商品房,2018-07-23,普通住宅,满五年,非共有,"
                                有抵押 业主自还
                              ",已上传房本照片,"
                    此房满五唯一，看房方便，业主诚心卖房，价格可沟通。
                  ",,,"
                    房屋性质属于已购公房，买方家庭首套购买有1%契税，二套购房有3%契税。有肆仟多土地出让金。
                  ","
                    小区是中铁单位的公房，分三期建成，建成年代从1996-2015年，北控物业，24小时门卫，小区有幼儿园。
                  ",,"
                    公交出行：去往怀柔县城小区门口有H10路， 去往城区庙城东公交车916路快直达西直门地铁口， 866路望京地铁口可换乘，980路 ，987路等多趟公交，京承高速，京密路。
                  ",,,,,,,
569,['青春路七院 采光好 满五唯一 交通便利 配套齐全'],163,28906,"['怀柔', '怀柔']",2室1厅1厨1卫,中楼层 (共5层),56.39㎡,平层,暂无数据,板楼,南,混合结构,其他,暂无数据,集中供暖,无,2023-11-16,商品房,1994-09-28,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一 中低楼层 南北朝向 格局采光充足 地理位置优越
                  ",,"
                    商场：京北大世界，青春万达广场，大星发大卖场 公园：城区街心公园，怀柔水库大坝，万米公园 医院：怀柔区中医院，怀柔妇幼保健医院，怀柔区医院（3甲医院），社区医院 交通：共享单车，916快车，慢车，H61,H62及各区间车，生活出行都方便
                  ",,"
                    此房小区环境好 坏境干净整洁 配套设施完善 交通便利 本小区有门卫管理，出入小区有人脸识别门禁，保证了小区业主的安全问题。小区业主邻里关系很和谐，邻居之间有爱互助，适合居住。
                  ",,"
                    公交车有H55，H56，H61，H62,H63,H64,916路公交车。 916路公交车可以到北京东直门，,866路公交车可以到望京西。 这个小区距离怀柔汽车站北门的距离是1.6KM，怀柔汽车站有916路公交车，866路公交车。
                  ",,"
                    业主诚心出售，房子目前空置中，业主卖这套房子是为了换房，提升居住生活品质；
                  ",,,,,
570,['铁路小区 南北通透两居室，中间楼栋，位于四层'],229,25567,"['怀柔', '怀柔']",2室1厅1厨1卫,中楼层 (共6层),89.57㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,有,2022-10-27,一类经济适用房,2003-11-20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五年唯一，南北通透双阳台，中间楼层视野采光好
                  ","
                    户型是南北通透的，两个卧室互不打扰，客厅带一个南向阳台。通风采光都不错
                  ",,,"
                    小区位于怀柔火车站北，属于铁路职工的单位福利房，只有三栋楼，居住密度低，楼龄是2003年的。小区门口和单元门都有门禁，安全性更高
                  ",,,,,"
                    房本是业主本人单独一个本，产权清晰，没有抵押没有贷款，可以直接走手续
                  ",,,,
571,['南北通透格局好，楼层好，视野宽阔，价格能谈。'],220,26144,"['怀柔', '怀柔']",2室1厅1厨2卫,中楼层 (共6层),84.15㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2022-03-13,商品房,1995-05-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    南北通透格局好，楼层好，视野宽阔，价格能谈。
                  ","
                    本房户型很好，有卧室是朝南的，光线很好。而且房子还是南北通透的格局，通风效果也很好，适合居家生活。
                  ","
                    公园：怀柔城市森林公园、第四次世界妇女大会纪念公园。商场：青春万达广场（怀柔店）、京北大世界、新悦百货。银行：兴业银行、工商银行、农业银行、光大银行、建设银行、北京银行。医院：北京中医医院怀柔医院、北京怀柔医院。
                  ",,,,"
                    公交：916路快车、H6路、H9路、H44路、H53路、H54路、H62路、郊80路、郊86路、...； 高速：京密高速、京承高速、通怀路、S5号线；
                  ",,,,,,,
572,['于家园一区 满五唯一 次顶层 客厅通阳台 南北通透'],268,29036,"['怀柔', '怀柔']",3室1厅1厨1卫,高楼层 (共6层),92.3㎡,平层,暂无数据,板楼,南 北,混合结构,其他,暂无数据,集中供暖,无,2023-02-12,商品房,2004-06-03,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一，客厅通阳台，南北通透视野好采光好
                  ","
                    原户型是个三居，客厅在中间，南边有个卧室，后来业主装修时将客厅改成通阳台的，加大了起居室的使用面积，更加开阔。
                  ",,,"
                    小区位于开放路西侧于家园街，一条小街，一般很安静，出门有菜店、便利店、理发店、花店，反正生活设施很完善。小区内只有2栋楼，平时管理很严格，目前出入还是需要专人开门，所以很安全；小区内停车还算方便。
                  ",,,"
                    房子装修有7、8年的时间了，空了几年后现在出租中，租户也住了有2年多了，保持的挺干净的。
                  ",,,,,,
573,['南大街25号  南北通透，满五唯一'],230,24347,"['怀柔', '怀柔']",2室1厅1厨1卫,顶层 (共6层),94.47㎡,平层,84.9㎡,板楼,南 北,混合结构,其他,暂无数据,集中供暖,无,2023-10-14,商品房,2007-09-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一  ，南北通透视野好，位置好
                  ",,"
                    小区两公里内商场有京北大世界一个路口是万达广场位于怀柔步行街街西南侧休闲健身有迎宾公园街心公园怀柔水库龙山公园等小区正对是怀柔中医医院
                  ",,,"
                    本房是业主自住房，小区地理位置好，交通便利。适合首付不多的小两口 配套齐全，有菜市场，公园，不临街，百度地图距怀柔中医医医院50米
                  ","
                    小区门口就是青春路，有916路快车直达是东直门，另外有H61路，H62路环城路线，是怀柔区交通枢纽之一
                  ",,,,,,,
574,['富乐家园 开放路东 次顶层 东西'],205,21046,"['怀柔', '怀柔']",2室2厅1厨1卫,高楼层 (共6层),97.41㎡,平层,暂无数据,板楼,西 东,混合结构,其他,暂无数据,集中供暖,暂无数据,2023-07-13,商品房,2005-10-31,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房已满五年，东西通透的的两居室，次顶层采光视野好
                  ",,"
                    配套设施完善，公交，医院，银行，餐饮均有。小区的东边200米就是农发地，一站式购物很方便；
                  ",,"
                    此小区位于开放路东侧，一层是非餐饮类底商，平时也很安静，二层到六层是住宅，院内只有此一栋楼，停车也方便；小区的东边200米就是农发地，一站式购物很方便；
                  ",,"
                    交通出行便利，公交线路有916路，936路，外环H862等；开车的话出小区直接上开放路向北可到雁栖湖，向南可上京承高速，很便利。
                  ",,,,,,,
575,['富乐小区北里，中间楼层，业主诚心出售。'],140,22516,"['怀柔', '怀柔']",2室1厅1厨1卫,中楼层 (共6层),62.18㎡,平层,暂无数据,暂无数据,东 西,混合结构,简装,暂无数据,集中供暖,暂无数据,2022-06-09,商品房,2021-09-16,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    成熟社区，低楼层，配套完善，东西小2居室，最重要便宜。
                  ",,"
                    商场：京北大世界，青春万达广场，大星发大卖场，京客隆 医院：怀柔区医院（怀柔区3甲医院），妇幼保健院，怀柔中医院，社区医院 公园：青春路公园，滨湖公园，万米公园，怀柔水库大坝
                  ",,,,"
                    交通：916快车，916区间车，城区内环线H61,外环线H62区间车。小区出门就有北大街公交站，916快车，去城里方便，也可以选择城铁S5号线，在雁栖湖坐车
                  ",,,,,,,
576,['柏泉庄园雁鸣园B区 小区环境优美，周边交通便利'],152,26399,"['怀柔', '怀柔']",1室1厅1厨1卫,中楼层 (共15层),57.58㎡,平层,暂无数据,板塔结合,南 北,钢混结构,其他,两梯四户,集中供暖,有,2022-08-11,商品房,2017-09-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    南北通透格局好，视野开阔采光充足，配套齐全交通便利。
                  ",,"
                    医院：距离北京市怀柔区燕栖医院1.1公里，距离北京市怀柔区妇幼保健院2.0公里，距离北京怀柔医院3.4公里； 公园：距离怀柔城市森林公园3.4公里，距离滨湖万米健身公园2.7公里； 购物便利。
                  ",,"
                    电梯板塔结合的高层，地上、地下停车位都比较充足；小区有三个出入口，北门供行人出行使用，东门西门供车辆出行，小区内有休闲娱乐设施，小区东侧是公园；物业费1.7-1.8元/平/月。小区环境优美，绿树成荫，公园健身设施皆有。
                  ",,"
                    小区门口就是京加路，小区北接雁栖湖，南达怀柔城区，门口就是公交站牌，有H79路、快速直达专线197路、小区西北方向1500米即是高铁雁栖湖站，向南13公里是京沈高铁怀柔南站，向西800米即京密高速入口。
                  ",,,,,,,
577,['精装修 明厨明卫 好楼层 看房方便'],265,32556,"['怀柔', '怀柔']",2室1厅1厨1卫,中楼层 (共5层),81.4㎡,平层,暂无数据,板楼,南 北,混合结构,其他,暂无数据,集中供暖,无,2023-06-20,商品房,2006-12-07,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年，个税1%，精装修，好楼层，环境好
                  ",,,,"
                    小区位于青春路西，水库大坝路东，生活配套有大星发超市，湖光小区公交车站，小区门口就是泉河派出所，治安不用担心，距离万达广场，怀柔中医院2站公交即到，繁华地段，便捷生活。
                  ","
                    房子现在格局为客厅通阳台的两居，布局方正合理，南北通透，环境好。
                  ",,,"
                    业主闲置房产出售，大部分时间在市里，偶尔过来这边游玩的时候作为歇脚使用，看房我这有钥匙，欢迎来电咨询和预约看房。
                  ",,,,,
578,['湖光小区 2室1厅 南 北'],195,32328,"['怀柔', '怀柔']",2室1厅1厨1卫,低楼层 (共6层),60.32㎡,平层,暂无数据,板楼,南 北,混合结构,其他,暂无数据,集中供暖,无,2023-10-22,商品房,2014-09-28,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,,,,,,,,,,,
579,['凤翔四园南北通透三居室居住舒适小区环境好'],199,20939,"['怀柔', '怀柔']",3室1厅1厨1卫,中楼层 (共6层),95.04㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,暂无数据,2023-04-05,商品房,2007-03-07,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    卖点：
此房南边100米是杨宋大公园，房子是三室两厅两卫南北
                  ","
                    户型介绍：
房子两个卧室朝南，客厅带窗户，采光好，通风换气好，小区环境优美。
                  ",,,,"
                    适宜人群：房子是总高6层，所在楼层在4层，车位都是地上车位，没有固定的车位
                  ","
                    交通出行：
生活配套设施完善出小区门口100米有公交车站，H63路车站，150米有大星发。
                  ",,,,,,,
580,['东关二区小区 满五唯一 价格低'],230,22385,"['怀柔', '怀柔']",3室2厅1厨2卫,顶层 (共6层),102.75㎡,平层,暂无数据,板楼,南 北,混合结构,其他,暂无数据,集中供暖,无,2023-10-08,商品房,2012-05-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    本房满五唯一商品房，南北通透，无遮挡，采光通透，通风好
                  ",,"
                    小区2公里内有：森林公园，普法公园，京北大世界，青春万达广场；怀柔中医医院；楼下就是各种生鲜店、小卖铺、餐饮店，适宜居住。
                  ","
                    本房是商品房属性，业主家庭名下只有这一套房子，所以是满五唯一的商品房，客户首套1%契税，二套3%的契税，降低了客户的购房成本。
                  ",,,"
                    小区外有城区内公交换乘站，通往城区或山区，出行十分方便。院内可以停车。
                  ",,,,,,,
581,['南北通透 两室明厅 诚意出售 居住舒适'],170,26993,"['怀柔', '怀柔']",2室1厅1厨1卫,顶层 (共6层),62.98㎡,平层,暂无数据,板楼,南 北,混合结构,其他,暂无数据,集中供暖,暂无数据,2023-10-12,商品房,2010-12-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    户型好，两室带客厅，南北通透，生活便利。
                  ",,"
                    配套： 小区门口有便利店，小区南面有刀削面馆，家常菜馆，快递站，华联便利店等
                  ",,,,"
                    交通出行： 小区南门口就是乐红园公交车站，有环城公交H62，H57路等，可以到达怀柔城区的各个地方
                  ",,"
                    此房：产权清晰！业主换房, 诚意出售！价位可谈！可随时签约!
                  ",,,,,
