,标题,总价格,单价,地段,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,适宜人群,户型介绍,税费解析,周边配套,交通出行,装修描述,权属抵押,售房详情,用水类型,用电类型,燃气价格
560,['中间位置、客厅朝南、一梯两户、产权清晰、价格可谈'],666,86606,"['海淀', '西北旺']",2室1厅1厨1卫,中楼层 (共6层),76.9㎡,平层,65.72㎡,板楼,南 北,混合结构,简装,暂无数据,自供暖,无,2023-10-17,商品房,2021-04-19,普通住宅,满两年,非共有,"
                                有抵押 38万元 中信银行 业主自还
                              ",已上传房本照片,"
                    商品房，视野开阔，客厅朝南，价格可谈，产权清晰。
                  ","
                    夏霖园小区位于德政路与西北旺一街交叉口，2004年建成，共12栋楼，1、2号楼为9层电梯板楼，3-12号楼为6层板楼，采暖方式自采暖，物业费0.78元，户型方正，停车免费。
                  ","
                    本房贷款方式不限，交易周期短周期，房子收纳空间大，南北朝向，采光充足。
                  ","
                    一进门就可以看见宽敞明亮的客厅，卧室空间也不小，朝向一南一北，分布合理，功能间好利用，温暖舒适的房间让您拥有每一个甜美夜晚，在温馨的厨房中，您可以为您的家人准备美味可口的饭菜，干净方正的洗漱间，宽敞够用。
                  ",,,,"
                    装修有段时间了，老式装修，干净整洁，如果买家是出租需求，很便于打理，如果自住的话，可以根据自己的风格装修设计，房子很好利用。
                  ",,"
                    业主现在想换房，产权清晰，随时签约，希望早日找到合适的买家。
                  ",,,
561,['西直门地铁北大街43号院南北通透客厅带窗两居满五唯一'],580,97316,"['海淀', '小西天']",2室1厅1厨1卫,高楼层 (共6层),59.6㎡,平层,暂无数据,板楼,东 南 北,混合结构,精装,暂无数据,集中供暖,无,2023-10-08,商品房,2015-01-30,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一商品房，税费低，板楼把边户型，诚心出售带车位
                  ","
                    本小区是92-94年粮食局分房，一共7栋楼，南区是1.2.3号楼，北区是4.5.6.7号楼，3.4号楼之间有停车场，楼间距26-30米，采光充足，楼中间有绿化，健身器材，乒乓球台等，方便家里老人散步遛弯以及带孩子，居住人群大部分为粮食局职工家庭，人员素质很高。
                  ",,"
                    本房是5层的，采光好，前后无遮挡，户型南北通透，客厅带窗，11.5平米可以摆沙发放电视，主卧室朝南14.5平米带大阳台3.5平米，厨房卫生间都比较大，这个户型是为数不多大客厅的户型而且通透性很好，小区停车便利
                  ",,,"
                    本小区位置不错，配套齐全，距离本小区向北500米（来自高德地图）为枫蓝国际购物，满足您生活的必须用品，距离西直门地铁站600米（来自高德地图）出行便利更有多条地铁线路，出小区东门就是索家坟公交站，为您出行提供便利
                  ",,,,,,
562,['海淀北部 欧式精装、新风地暖、全厨净水、拎包即住'],447,49906,"['海淀', '海淀北部新区']",2室1厅1厨1卫,低楼层 (共16层),89.57㎡,平层,69.64㎡,板楼,南,钢混结构,精装,两梯三户,集中供暖,有,2023-09-14,自住型商品房,2018-09-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五唯一  欧式精装、新风地暖、全厨净水、拎包即住 万科物业
                  ","
                    海淀嘉郡，海淀产权；楼龄新，2016年建成；小区品质高，绿化30%+，有景观和娱乐设施；万科物业管理优质，管家式服务；小区人车分流，有地下产权车位；套内面积大，两梯四户，房子优质。
                  ",,,,,"
                    小区前面是沙阳路主路，往西走是西六环，往东走是京新、京藏高速，南边是上庄路，目前正在拓宽。
                  ","
                    1. 户型角度，海淀嘉郡2居室B户型，大阳台，全朝南，采光好；2. 梯户比，2梯3户；3. 相较其他楼号相同户型，面积大；4. 带地下产权车位；5. 精装修（40万+）自住，门窗全换，带新风、地暖、终端净水器，全屋定制。
                  ",,,,,
563,['南北通透中间楼层不临街五年唯一看房方便诚心卖随时签'],485,80166,"['海淀', '紫竹桥']",2室1厅1厨1卫,中楼层 (共5层),60.5㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-10-22,商品房,2013-01-04,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    本房是满五年家庭唯一住宅，大两居带客厅，南北通透，不临街
                  ","
                    酱油厂宿舍（酿造六厂宿舍楼）小区在西三环内，紫竹桥商圈发展的时间比较早，设施齐全，有紫竹院公园可满足日常散步休闲的需要，配备有多个购物市场和综合市场，满足不同人的购物需求。
                  ","
                    本房南北均不临街，房子中间楼层适合一家人居住或老人居住，距离紫竹院公园西南门仅463米（百度测距）。
                  ","
                    房子是南北通透的户型，一南一北朝向的两间卧室，主卧朝南次卧室朝北向，南北两侧均不临街很安静，两间卧室可以形成南北的对流，室内的空气更加清新，居住舒适。
                  ","
                    本房满五年且是业主北京名下唯一住宅，首套购房1%契税，二套3%契税，业主诚心卖房，价格还可沟通。
                  ",,,,,,,,
564,['西木小区 中间位置 南北朝向 采光好 交通便利'],447,82625,"['海淀', '田村']",2室1厅1厨1卫,中楼层 (共7层),54.1㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-07-14,已购公房,2020-08-18,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满两年公房 中间楼层 交通便利 配套齐全
                  ","
                    在小区是1992-1993年的公房社区，一共有18栋楼。其中1-14号楼为板楼，15-18号楼为塔楼。小区以17、18号楼为分界点，以西是1-8号楼，多为5层高，其中只有7号楼有半地下，以东是9-16号楼，在2015年年底做的修缮，小区17年10月更换的物业，管理环境好
                  ",,,"
                    满2年的公房，家庭名下非唯一住房，首套购买有契税1%、1%个税、15.6元每平的土地出让金；二套购买3%、1%个税、15.6元每平的土地出让金
                  ",,"
                    出小区东南门，走90米就是公交站五路桥站，多路公交车可到达，向东210米过一个过街天桥就是地铁6号线终点站海淀五路居站A出口（数据来自百度地图）
                  ",,,,,,
565,['五棵松26号院东西向两居室满五年唯一诚心卖'],545,76107,"['海淀', '四季青']",2室1厅1厨1卫,中楼层 (共6层),71.61㎡,平层,暂无数据,板楼,东 西,混合结构,精装,暂无数据,集中供暖,无,2023-10-12,商品房,2016-01-05,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五年唯一，税费少，双卧朝东，中间楼层，无遮挡
                  ","
                    五棵松26号院小区内有4栋楼，1号楼是带电梯的塔楼，一梯十户，2，3，4号楼是板楼，总高6层不带电梯，小区内停车是地上固定的停车位，内部有个活动广场，平时老人孩子可以在广场上活动，小区内邻里关系和谐，出行也很方便，开车，坐地铁，公交都没问题
                  ",,"
                    此房是一套正规两居室，两个卧室朝东，主卧带阳台，厨房和客厅朝西，房子是实用两居室，用起来也比较方便。
                  ",,,,,"
                    此房没有抵押，产权清晰，家里人都同意出售此房，业主卖房原因是换房，诚心出售，随时可以交易
                  ",,,,
566,['新兴年代 南北通透 明厨明卫 中间楼层'],888,90826,"['海淀', '五棵松']",2室1厅1厨1卫,中楼层 (共18层),97.77㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,2023-07-20,商品房,2017-05-11,普通住宅,满五年,非共有,"
                                有抵押 350万元 银行企业经营贷 业主自还
                              ",已上传房本照片,"
                    此房南北通透两居室，满五年唯一，小区中间，明厨明卫
                  ",,,"
                    此房是2008年建成，2009年入住的商品房，房龄新小区环境好，房屋中间楼层，主卧室带有阳台，光线较好，整体亮度高，卫生间带窗户，窗外就是绿化带，居住惬意舒适。
                  ",,"
                    有西点茂，沃尔玛超市，顺天府，物美超市，盒马生鲜。医疗有301医院，中西医结合医院，武警总医院，都是三级甲等的医院
                  ","
                    小区门口是莲石路辅路，小区门口东侧就是南沙窝桥西公交站，有663,890等多条公交线路；小区距离1号线五棵松地铁站1400米（根据高德地图）
                  ",,,,,,
567,['北影小区2000年正规三居室 不临街 采光视野好'],960,86053,"['海淀', '北太平庄']",3室1厅1厨1卫,中楼层 (共17层),111.56㎡,平层,暂无数据,塔楼,西 北,钢混结构,简装,两梯九户,集中供暖,有,2023-07-21,央产房,2011-04-27,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房为满五年公房，可以贷款，户型方正，楼层好，配套齐全
                  ","
                    北影小区位于北三环与北四环之间，电影学院东侧，北侧为元大都遗址公园，居住环境舒适安静，小区共计23栋住宅楼，是中影集团、统战部、国土资源部、中石化分房，小区人文素质高，内部有菜市场和生活便民店等，999急救站社区医院。小区物业是中影星光物业。
                  ",,"
                    房子是2000年的钢混结构西北朝向无遮挡视野开阔进门处是餐厅。和客厅分离，房子是双阳台，高楼层，电梯直达。老人小孩上下楼方便。
                  ","
                    满五年公房，首套承担网签价1%的契税和1%的个税，二套承担网签价3%的契税和1%的个税。
                  ","
                    小区是由星光物业管理。楼道干净无广告，内部可以停车有立体停车库。小广场凉亭和健身休闲区，居住舒适小区内有生活一条街，生活方便。出门是北土城公园，地铁是西土城站，出行方便。北侧有三甲医院北医三院。
                  ",,,,,,,
568,['阜光里小区精装修可公积金贷款 带正规客厅可拎包入住'],635,93109,"['海淀', '甘家口']",2室1厅1厨1卫,顶层 (共6层),68.2㎡,平层,暂无数据,板楼,南 北,混合结构,精装,暂无数据,集中供暖,无,2023-07-01,已购公房,2000-06-30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年公房，产权清晰，可公积金贷款，精装拎包入住
                  ","
                    阜光里小区是两个院，1.2.3号楼是1个院，最小的户型是82平的两居室；5到9号楼是另外一个院，有一居室，两居室，三居室，户型多一些，这套房子是5到9号楼的院，南北通透的两居室带客厅，户型好用，楼龄新，1996年。
                  ",,"
                    房子是1996年楼龄，房本有体现，楼龄新可以公积金贷款；南北两居，带正规客厅，厨房朝北，当中带客厅；采光好，楼层好，此户型出房少。
                  ","
                    房子是满五年不唯一的公房，涉及1%个税；客户首套买房涉及1%契税，二套买房涉及3%契税。网签价可以660万，首套贷款可以贷429万，二套贷款可以贷264万。
                  ",,,,,,,,
569,['小南庄万泉庄 环境家属楼  满五年 苏州街苏州桥地铁'],525,81776,"['海淀', '苏州桥']",2室1厅1厨1卫,顶层 (共6层),64.2㎡,平层,暂无数据,板楼,西 东,混合结构,精装,暂无数据,集中供暖,无,2023-06-16,已购公房,2001-08-23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    小南庄万泉庄 环境家属楼 公房  满五年  苏州街苏州桥地铁
                  ","
                    小南庄社区是成熟的公房社区，一共有42栋楼 分10个院。房子所在是楼是小南庄社区中间位置，安静。楼道管理也比较好，干净整洁，24小时保安看守，模范小区。小区管理来看公房社区良好，楼栋排列整齐，都是单元板楼，无塔楼，院里可以遛弯，散步
                  ",,,,"
                    小区出门就是城乡仓储购物很方便，西边万柳的华联商场，地铁苏州街站、苏州桥站，银行有，北京银行，工商银行，光大银行，民生银行，农业银行，中国银行，平安银行.
                  ","
                    途径此地公交车站是万泉庄，公交车有：374、26等；地铁是地铁16、12号线苏州桥、苏州街站10、16号线
                  ",,,,,,
570,['中海枫涟山庄 可观山 视野好 满五唯一'],950,106706,"['海淀', '西北旺']",2室2厅1厨1卫,顶层 (共9层),89.03㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,自供暖,有,2023-09-21,商品房,2011-10-21,普通住宅,满五年,非共有,"
                                有抵押 50万元 业主自还
                              ",已上传房本照片,"
                    满五唯一，视野好，可观山，层高高。
                  ","
                    中海地产开发，中海物业，小区半人车分流，有地下车库，小区三个门，北门东门进车出车，南门是行人，有个小广场，可以跳广场舞
                  ","
                    适合在西北旺上班客户群体，适合喜欢安静的客户，不临街不把边，适合家有孩子，有老人客户，有电梯，上下楼方便
                  ",,,,"
                    小区出行方便，南门100米左右就是地铁16号线西北旺地铁站，每个门口都有公交车，四通八达。
                  ",,,,,,
571,['德外小关街牡丹园南北通透三居，看房随时，诚意出售。'],896,90414,"['海淀', '牡丹园']",3室1厅1厨1卫,高楼层 (共6层),99.1㎡,平层,暂无数据,板楼,南 西南 北,混合结构,精装,暂无数据,集中供暖,无,2023-04-15,已购公房,2010-08-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    房子满五年唯一，公房，南北通透，精装修，看房随时。
                  ",,,"
                    1998年公房板楼三居室，南北通透，带西窗，罕见户型。采光和通透性好。
                  ","
                    房子满五年唯一 ，没有多余税费，交易只有契税。没有抵押，成交流程简单。
                  ",,,,,"
                    业主换房，靠谱出售，看好房根据付款方式价格可以协商。能够给周期，渴求一谈。
                  ",,,
572,['二里庄小区 2室1厅 无遮挡观景阳光户型 带储物间'],628,95296,"['海淀', '二里庄']",2室1厅1厨1卫,高楼层 (共18层),65.9㎡,平层,暂无数据,塔楼,西南,钢混结构,精装,两梯十一户,集中供暖,有,2023-09-27,商品房,2019-07-29,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    电梯 高层 无遮挡  采光好 可观景
                  ",,,"
                    此房户型是正规两居室，使用面积多，次卧室和客厅墙体去掉了，可以恢复，厨房卫生间墙体不承重，居住舒适。
                  ",,,,"
                    此房是业主自住的，精装修，目前次卧室的墙体去掉了，装修保持的很好，可以拎包入住
                  ",,"
                    业主诚意出售，随时签约，电梯房，出行方便，不临街，安静舒适，精装修可拎包入住
                  ",,,
573,['车道沟三居 满五年唯一 小区有车位 随时看 随时签'],560,79659,"['海淀', '紫竹桥']",3室1厅1厨1卫,顶层 (共14层),70.3㎡,平层,暂无数据,塔楼,西北,钢混结构,精装,一梯七户,集中供暖,有,2023-06-17,已购公房,2010-06-02,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五年唯一公房，楼层好视野开阔，临地铁公交站，交通便利。
                  ","
                    小区距离895米是466医院，保障了您的健康生活，距离774米是车道沟公园，景色优美，气氛安静，适合散步，游乐，距离642米是物美紫竹院店，购物方便，距离299米是建设银行和工商银行（以上距离经百度测距）。
                  ",,,,"
                    生活配套完善，像公园、购物、银行、医院、餐馆等等，一应俱全，保障了您的生活便利。
                  ","
                    小区有两个大门，出大门就是紫竹院路，出西北大门向西距离411米是地铁10号线车道沟站（经百度测距），出西北大门就是车道沟桥东公交站，来往车辆十多条线路，通往北京各处，地处位置好，交通便利，出行方便。
                  ",,,,,,
574,['中低楼层南北通透，精致装修满五年唯一'],275,40573,"['海淀', '海淀其它']",2室1厅1厨1卫,低楼层 (共6层),67.78㎡,平层,56.32㎡,板楼,南 北,钢混结构,精装,暂无数据,集中供暖,无,2023-07-23,一类经济适用房,2014-01-02,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年唯一， 南北通透精装修，板楼6层的2层
                  ","
                    小区是城建集团开发的社区，总高6层板楼社区，集中供暖楼间距大，物业费低
                  ",,"
                    2012年板楼社区，南北通透格局方正布局合理，集中供暖停车免费。
                  ",,,,"
                    2年前的自住精装修，原本没打算出租，选材和做工考究细致，拎包入住。
                  ",,,,,
575,['中间位置、客厅朝南、一梯两户、产权清晰、价格可谈'],666,86606,"['海淀', '西北旺']",2室1厅1厨1卫,中楼层 (共6层),76.9㎡,平层,65.72㎡,板楼,南 北,混合结构,简装,暂无数据,自供暖,无,2023-10-17,商品房,2021-04-19,普通住宅,满两年,非共有,"
                                有抵押 38万元 中信银行 业主自还
                              ",已上传房本照片,"
                    商品房，视野开阔，客厅朝南，价格可谈，产权清晰。
                  ","
                    夏霖园小区位于德政路与西北旺一街交叉口，2004年建成，共12栋楼，1、2号楼为9层电梯板楼，3-12号楼为6层板楼，采暖方式自采暖，物业费0.78元，户型方正，停车免费。
                  ","
                    本房贷款方式不限，交易周期短周期，房子收纳空间大，南北朝向，采光充足。
                  ","
                    一进门就可以看见宽敞明亮的客厅，卧室空间也不小，朝向一南一北，分布合理，功能间好利用，温暖舒适的房间让您拥有每一个甜美夜晚，在温馨的厨房中，您可以为您的家人准备美味可口的饭菜，干净方正的洗漱间，宽敞够用。
                  ",,,,"
                    装修有段时间了，老式装修，干净整洁，如果买家是出租需求，很便于打理，如果自住的话，可以根据自己的风格装修设计，房子很好利用。
                  ",,"
                    业主现在想换房，产权清晰，随时签约，希望早日找到合适的买家。
                  ",,,
576,['中央财经大学家属楼 南北通透 中间位置 精装三居室'],675,81365,"['海淀', '清河']",3室1厅1厨1卫,高楼层 (共6层),82.96㎡,平层,暂无数据,板楼,南 北,混合结构,精装,暂无数据,集中供暖,无,2023-07-29,商品房,2017-05-02,普通住宅,满五年,非共有,"
                                有抵押 90万元 建设银行
                              ",已上传房本照片,"
                    此房满五年唯一 南北通透采光通风效果好 业主精装修自住
                  ","
                    小区可以对外出售的一共4栋楼，都是总高6层南北向的板楼，停车位充足，生活成本低；小区就一个出入口，保安24小时值班，安全性高.
                  ",,,"
                    房子是满五年且唯一商品住房，交易过程中首套仅承担1%契税，二套3%契税，税费成本较低。
                  ","
                    商场：万象汇，上地华联；公园：美和园公园；医院：二炮门诊，上地医院。
                  ","
                    出小区南行200米是京新高速 京包高速 和G7的入口，距离13号线地铁上地站650米左右（百度地图测距）
                  ",,,"
                    业主换房主要计划距离单位近一些 已经有目标房原，诚意出售，看房提前联系
                  ",,,
577,['海淀北部 欧式精装、新风地暖、全厨净水、拎包即住'],447,49906,"['海淀', '海淀北部新区']",2室1厅1厨1卫,低楼层 (共16层),89.57㎡,平层,69.64㎡,板楼,南,钢混结构,精装,两梯三户,集中供暖,有,2023-09-14,自住型商品房,2018-09-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五唯一  欧式精装、新风地暖、全厨净水、拎包即住 万科物业
                  ","
                    海淀嘉郡，海淀产权；楼龄新，2016年建成；小区品质高，绿化30%+，有景观和娱乐设施；万科物业管理优质，管家式服务；小区人车分流，有地下产权车位；套内面积大，两梯四户，房子优质。
                  ",,,,,"
                    小区前面是沙阳路主路，往西走是西六环，往东走是京新、京藏高速，南边是上庄路，目前正在拓宽。
                  ","
                    1. 户型角度，海淀嘉郡2居室B户型，大阳台，全朝南，采光好；2. 梯户比，2梯3户；3. 相较其他楼号相同户型，面积大；4. 带地下产权车位；5. 精装修（40万+）自住，门窗全换，带新风、地暖、终端净水器，全屋定制。
                  ",,,,,
578,['恒盛欧洲公馆 南北三居室 中间层，靠谱签约'],1460,104825,"['海淀', '玉泉路']",3室1厅1厨2卫,中楼层 (共12层),139.28㎡,平层,120.11㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2023-09-05,商品房,2013-09-25,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房为满五年唯一商品房，南北通透格局，楼层好，视野开阔
                  ","
                    2010年左右的商品房成熟社区，小区人车分流，总共3栋住宅楼，两栋底商，一栋会所，欧式建筑风格。
                  ",,"
                    南北通透大客厅，客厅主卧朝南，两个次卧朝北，户型规划合理，居住舒适度高。
                  ",,"
                    公园：阳光星期八公园，北京国际雕塑公园；医院：航天医院，清华大学玉泉医院
                  ",,,,,,,
579,['双榆树东里 精装修双南两居 随时签约 诚意出售'],520,97929,"['海淀', '双榆树']",2室1厅1厨1卫,高楼层 (共6层),53.1㎡,平层,暂无数据,板楼,南,混合结构,精装,暂无数据,集中供暖,无,2023-09-07,商品房,2017-05-23,普通住宅,满五年,共有,"
                                有抵押 320万元
                              ",已上传房本照片,"
                    此房满五年唯一，全南向精装两居，无遮挡采光充足，业主诚意出售
                  ",,,,"
                    此房满五年唯一商品房，首套购房缴纳1%契税，二套购房缴纳3%契税，增值税和个税免征。
                  ","
                    双榆树东里配套成熟，商场有双安商场、华语购物、当代商城、新中关购物等，地铁有地铁4号线人民大学站，物美，银行有工商、建设、中国、北京、北京农商等。
                  ",,,,"
                    业主诚心出售，卖房需要换一套大一些的，因为有二宝了，产权清晰，没有纠纷，可以随时签约走手续，随时看房。
                  ",,,
580,['农影小区魏公村南北向带电梯两居室精装修'],930,119538,"['海淀', '皂君庙']",2室1厅1厨1卫,中楼层 (共14层),77.8㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯两户,集中供暖,有,2023-09-15,商品房,2017-11-14,普通住宅,满五年,共有,"
                                有抵押 50万元 50 业主自还
                              ",已上传房本照片,"
                    本房户型较少，家庭名下满五年，精装修拎包入住，价格能谈。
                  ","
                    农影小区是CCTV-17套农业影视频道的家属院，一共6栋楼，建成年代2000年左右，楼之间还有小花园儿，小区管理很好，有24小时的门口，近地铁，交通便利。
                  ","
                    小孩：房子50万精装修，可以拎包入住，无污染
老人：有电梯，小区环境好有花园，人文安静，退休职工居多
交通：交通便利，出行方便，小区门口两侧就有4号线地铁站和公交站，华宇时尚购物商场等。
                  ","
                    此房的户型较少，南北向两居室可通风，客厅20平米，卫生间干湿分离，有阳台，精装修。
                  ",,,,,,"
                    售房原因：我和业主认识好多年关系熟，业主打算置换改善，很诚心卖，看房提前约，随时签约。
                  ",,,
581,['城华园小区满五唯一西南朝向两居室'],639,73703,"['海淀', '学院路']",2室1厅1厨1卫,高楼层 (共6层),86.7㎡,平层,暂无数据,板楼,西南,混合结构,精装,暂无数据,集中供暖,无,2023-06-08,已购公房,2003-10-20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房源满五唯一公房，高楼层视野好，购房成本低可以贷款
                  ","
                    城华园小区一共8栋楼一号楼二号楼为商品房其余六栋为已购公房小区停车位每年1500元无固定车位去年小区内做过整体改造路面重新铺垫，重新整理私搭乱建全部拆除小区面貌焕然一新
                  ",,,,"
                    小区西边有八家郊野公园，东边有奥林匹克森林公园，北边有999急救医院，南边有北医三院，小区外有建清园社区医院，南边有圣熙八号购物广场，银行有中国银行，建设银行，中国农业银行，酒店有如家酒店，格林豪泰酒店。
                  ","
                    小区西边是双清路北面是月泉路南边是林大北路东边是学清路无论您去京藏高速和是京新北五环都很方便出小区门口就有学知园地铁站，交通便利
                  ",,,,,,
582,['山水倾城   层高3米  80万精装 新风地暖 软水 有车位'],1620,119611,"['海淀', '万柳']",3室1厅1厨2卫,中楼层 (共15层),135.44㎡,平层,暂无数据,塔楼,东南,钢混结构,精装,两梯六户,集中供暖,有,2023-10-28,商品房,2020-05-27,普通住宅,满两年,非共有,"
                                有抵押 185万元 工商银行 客户偿还
                              ",已上传房本照片,"
                    只有契税  2021年精装修 空调新风系统 全屋地暖 层高3米 有车位
                  ","
                    山水倾城小区是住总开发的天诺物业管理的很好小区4栋楼一共只有314户低密度社区人车分流平层的经层高3米居住舒适度高毫无压迫感全屋地暖而且小区内又太高地面的花园活动空间大
                  ",,,,"
                    配套齐全，万柳商圈儿配建了16.6万平米的长春健身公园和巴沟山水园，公园的西边就是昆玉河，从昆玉河可以走路到颐和园。配建了万柳华联，世纪金源购物，超市发超市，京客隆超市，每个小区底商都有蔬菜水果店。
                  ","
                    四条地铁线交汇于此，距离地铁10号线长春桥站800米，距离地铁西郊线(又称香山线、旅游观光)和地铁10号线巴沟站1600米、距离地铁12号线（2023年底通车运营）及地铁16号线（已经全线开通）的汇合换乘站—苏州桥站仅600米。
                  ",,,,,,
583,['温泉凯盛家园二区  次顶层 山景一居'],365,60421,"['海淀', '海淀北部新区']",1室1厅1厨1卫,高楼层 (共15层),60.41㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,2023-09-07,商品房,2021-02-09,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年唯一商品房，新装修，次顶层，山景一居
                  ","
                    凯盛家园位于温泉路和双坡路的交汇处，是首开地产开发建设的，2013年左右交的房，钢混结构，集中供暖，都是统一地暖，30元/㎡/季 物业费2.29元/㎡/月，停车位只有租的，地上120元/月，1200元/年。地下360元/月，3600元/年。
                  ",,"
                    本户型是小区内经典的南向一居室，户型方正，基本无浪费面积。客厅很大，客厅带阳台，厨房带着阳台，储物空间也比较大
                  ",,"
                    小区东边就是海淀北部文化馆，里面分布有图书馆、档案馆、温泉体育馆和游泳馆，很适合休息时候带孩子一起看书，游泳， 打球等休闲和娱乐；里面还有餐饮，如呷哺、麦当劳，正一味等；还有耀莱成龙电影院，等配套，可满足日常生活和休闲的需求！
                  ","
                    小区门口有西二旗直达专线，专38公交，另外还有多条公交线路，如908,633,651,346等公交。 小区距离地铁16号线，温阳路站2.3km（此数据来自百度地图）出行都很方便。
                  ","
                    业主亲自监工，刚刚重新装修了房子，采用的现代风格，全屋智能家居
                  ",,,,,
584,['翠微中里南向中间层两居室，产权清晰随时可看随时签约'],472,97642,"['海淀', '公主坟']",2室1厅1厨1卫,中楼层 (共6层),48.34㎡,平层,暂无数据,板楼,南,混合结构,简装,暂无数据,集中供暖,无,2023-11-27,商品房,2015-11-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    翠微中里南向低总价中间层两居室，随时可看产权清晰随时签约
                  ","
                    翠微中里由3栋塔楼和8栋板楼组成，小区原产权单位有建行、财政部、北京市铁路局、中国建筑设计研究院、中房集团、物资部等，居住人群素质较高，物业是中交物业，物业管理好。
                  ","
                    本房适宜各个年龄阶段人群，楼下有健身器材和活动小广场。社区里就有总高四层的万寿路街道医院，2公里范围内有：空军总医院（三甲皮肤科、正骨科全国有名）、304医院（三甲烧伤科全国有名）、水利医院、世纪坛医院（三甲）、301医院（各科室全国都有名）
                  ",,"
                    房子是商品房性质，北京建筑设计院的家属楼，房子满五年唯一产权清晰无抵押无查封；契税看买房人情况，首套按1%计算，二套按3%计算,详细税费可以咨询您的专属置业顾问
                  ","
                    小区出东门正对烟雨公园，里面每天晨练有做操的、有跳舞的；往东穿过颐源居社区是玉渊潭公园，里面合唱团、游泳队、各种舞蹈队；西边万寿路有物美、凯德晶品，东边翠微路有翠微大厦、翠微广场、凯德MALL(印象城)、公主坟地铁口有国美电器、城乡华懋
                  ",,,,,,,
585,['八宝庄航天桥南北向低楼层无遮挡近地铁挨着公园'],460,82883,"['海淀', '定慧寺']",2室1厅1厨1卫,底层 (共6层),55.5㎡,平层,暂无数据,板楼,北 南,钢混结构,简装,暂无数据,集中供暖,无,2023-09-04,已购公房,2023-08-22,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    公房性质 低楼层 南侧公园 挨着地铁 价格可谈随时签约
                  ","
                    共有21栋住宅，15栋板楼，6栋塔楼，小区内有游泳馆健身房，便民市药房，小区南侧就是建好的定慧公园，环境很不错，适合游乐散步
                  ",,,,"
                    小区购物方便，旁边有物美，小区内有生鲜市，药店，新鲜蔬菜直通车，小区南侧是定慧寺公园
                  ","
                    地铁：十号线西钓鱼台站，步行500米达C口；公交车：小区东门八宝庄车站（335路 33路 414路 627路 85路 夜16路）；北门阜成路上定慧寺东（121路 27路 414路 481路 612路 62路 634路 653路 686路 693路 698路 701路 87路 快速直达专线16路 快速直达专线48路..
                  ",,,,,,
