,标题,总价格,单价,地段,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,周边配套,交通出行,适宜人群,户型介绍,权属抵押,售房详情,装修描述,税费解析,用水类型,用电类型,燃气价格,别墅类型
459,['红杉公馆2015年新楼，正规两居室，精装修'],345,38817,"['通州', '九棵树(家乐福)']",2室2厅1厨1卫,中楼层 (共13层),88.88㎡,平层,70.26㎡,板塔结合,西北,钢混结构,精装,两梯四户,集中供暖,有,2023-11-30,商品房,2017-03-08,普通住宅,满五年,非共有,"
                                有抵押 100万元
                              ",已上传房本照片,"
                    此房满五唯一，精装修，带电梯，正规两居室
                  ","
                    小区物业是开发商自持的物业，比较负责任，小区是半人车分流，中间是水系和小区广场，定期会有喷泉，不会走车，小孩娱乐玩耍很放心。小区内还有篮球场，羽毛球场，乒乓球场，小朋友玩耍的沙坑，秋千，跷跷板等，相对聚集人气的一个社区。
                  ","
                    小区南门出去就是永辉和各种餐饮，水果蔬菜很新鲜，物品很齐全，足够满足日常用品，北门也有华联，品农水果店，理发店等。小区东侧500米就是东直门中医院，三级甲等医院。
                  ",,"
                    此房两居室，适合刚需首套房客户，精装修，省去了装修的成本，带电梯，不用爬楼，电梯直通地下车库。
                  ","
                    此房客厅朝北带飘窗，厨房带阳台，空间大，主卧朝向带阳台落地窗，采光视野好，次卧室两面窗户，采光面也比较多，房子很亮堂。
                  ",,,,,,,,
460,['玉桥南里 3室1厅 南 北'],310,42046,"['通州', '玉桥']",3室1厅1厨1卫,底层 (共6层),73.73㎡,平层,暂无数据,板楼,南 北,混合结构,简装,暂无数据,集中供暖,无,2023-12-03,商品房,2010-03-19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,,,,,,,,,,,
461,['梨园通透两居室，精装修可以拎包入住，配套齐全'],239,28967,"['通州', '梨园']",2室1厅1厨1卫,顶层 (共6层),82.51㎡,平层,70.95㎡,板楼,东 西,混合结构,精装,暂无数据,集中供暖,无,2023-12-04,商品房,2006-06-03,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    通透两居室，中间楼层，精装修可以拎包入住，配套齐全，交通便利
                  ","
                    小区是板楼社区，刚做的升级改造，绿化，管道，防水重新铺设，小区重新规划的停车位，停车免费，并且外来车辆不让进入小区，物业费0.6元，市政集中供暖24平米，小区出行方便，门口都有公交车站， 绿色自行车
                  ","
                    小区东侧是梨园东里菜市场，南侧是华业东方玫瑰步行街，物美，耀莱影视城等，购物方便，出小区南门是公交站，一站地是八通线临河里站，出行方便。
                  ","
                    小区门就是公交车站，小区西边是地铁临河里站，不喜欢等公交车的话 ，可以骑公共自行车就可以比公交车方便。自驾也方便，京通，京沈，两广路，都方便
                  ",,"
                    通透两居室，主卧室带大阳台，次卧朝西，整体格局方正居住舒适，客厅大
                  ",,,,,,,,
462,['新小区，高品质，正规三居室，业主诚意出售'],249,32234,"['通州', '通州其它']",3室2厅1厨1卫,中楼层 (共12层),77.25㎡,平层,暂无数据,板楼,东 南 北,钢混结构,简装,一梯四户,集中供暖,有,2023-12-03,商品房,2018-03-13,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    新小区，高品质，正规三居室，业主诚意出售
                  ",,"
                    小区西侧100米有物美华联，银行有农商银行和邮政银行，还有众多小吃
                  ","
                    小区北侧100米有566路公交车和通11路公交车，最近的地铁站有万胜东和万盛西站，大概距离3公里
                  ","
                    小区带电梯，不临街，人车分流，绿化好，家有老人，孩子都适宜，配套很完善，如果养宠物也很方便的
                  ",,,,,,,,,
463,['K2清水湾嘉园 高层可观景 西南两居室'],285,35194,"['通州', '潞苑']",2室1厅1厨1卫,高楼层 (共17层),80.98㎡,平层,暂无数据,塔楼,西南,钢混结构,简装,两梯六户,集中供暖,有,2023-12-01,定向安置房,2016-02-04,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一，标准两居户型，西南朝向 户型方正 总价低
                  ","
                    小区是石榴集园开发，2013年建成，属于三定三限三结合的安置房，满五年才能上市，但是上市转让的税费成本和商品房一样，满五唯一，只交契税，小区人车分流，物业费1.85元每平米，集中供暖地暖入户
                  ","
                    小区南侧50米是市政公园，有跑道，健身器材，篮球场等，北侧300米是物美超市和公交车站，1.2公里有三甲医院友谊医院，生活配套齐全
                  ",,"
                    小区新，电梯房绿化好，正规的两居，适合家里人口多，且需要有电梯的家庭购买
                  ",,"
                    房子无抵押，无户口，产权清晰，业主诚心出售，就在北京住，签约方便
                  ",,,,,,,
464,['通瑞嘉苑 电梯房 纯南向  视野好 格局方正'],285,36937,"['通州', '潞苑']",2室1厅1厨1卫,中楼层 (共21层),77.16㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,集中供暖,有,2023-12-25,自住型商品房,2018-11-06,普通住宅,满五年,非共有,"
                                有抵押 70万元 公积金 客户偿还
                              ",已上传房本照片,"
                    通瑞嘉苑 满五唯一 电梯房 纯南向  视野好 格局方正
                  ","
                    通瑞嘉苑，小区是2016年建成，梯户比2:4，个别单元2:3，小区楼间距大，采光好，环境优美，车位充足，配套公立幼儿园。
                  ","
                    小区西门有三甲友谊医院，东侧1500米是正在建设安贞医院，南门西侧100米有生活购物，北门是健身房和游泳馆，北门东侧200米有多路公交车。
                  ","
                    小区四周都有公交线路，有多趟公交，专88，通勤（微）70,552路，675路,316路，824路，388路，专77路等。
                  ",,"
                    通瑞嘉苑，电梯房，房子是纯南向两居，客厅是朝南向的，厨房带窗户，主卧室朝南，次卧室也是朝南向的，格局方正。
                  ",,,,"
                    通瑞嘉苑，此房首套购房客户缴纳1%的契税，客户名下有一套房产，没有出售，在够此房属于二套，二套购房客户缴纳3%契税。
                  ",,,,
465,['新城乐居，南北通透三居室，精装修！'],359,39261,"['通州', '临河里']",3室1厅1厨1卫,低楼层 (共28层),91.44㎡,平层,70.58㎡,板楼,南 北,钢混结构,简装,两梯四户,集中供暖,有,2023-12-17,定向安置房,2016-07-12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一，楼层高，视野好，采光充足，户型方正。
                  ","
                    小区是2012年建成的，小区一共有8栋楼，楼栋总数1834户，小区里都是板楼，车位配比1:0.68，物业费1.9元，小区有一个小广场，方便健身娱乐，绿地也是比较多的。
                  ","
                    此小区位置优越、配套完善，小区自带幼儿园，南面是环球影城，受影城带动，环境和基础配套越来越完善，双轨道交通，公交线路也很多，出行方便。
                  ","
                    社区地理位置优越。环球影城北侧1000米（数据来源百度地图），地铁7号线高楼金站距离小区南门仅500米（数据来源百度地图），地铁八通线土桥站距离社区960米（数据来源百度地图）。公交589路，591路，T111路等多路公交直达北京国际度假区。
                  ",,,,,,,,,,
466,['新城乐居 南向 正规2居 可看环球影城'],285,36209,"['通州', '临河里']",2室1厅1厨1卫,高楼层 (共28层),78.71㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯四户,集中供暖,有,2023-12-21,定向安置房,2016-12-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    小区楼间距大，南向二居采光好，两梯四户，交通便利
                  ","
                    小区建成于2012年，属于成熟社区，高层低密度，小区居住舒适度很好，邻里和睦，生活氛围好。
                  ","
                    此小区位置优越、配套完善，小区自带幼儿园，南面是环球影城，受影城带动，环境和基础配套越来越完善，双轨道交通，公交线路也很多，出行方便。
                  ","
                    社区地理位置优越。环球影城北侧1000米（数据来源百度地图），地铁7号线高楼金站距离小区南门仅500米（数据来源百度地图），地铁八通线土桥站距离社区960米（数据来源百度地图）。公交589路，591路，T111路等多路公交直达北京国际度假区
                  ",,"
                    房子是南向的两居室，客厅卧室朝南，客厅带阳台，楼层高可观影城。
                  ",,,,,,,,
467,['通瑞嘉苑西区 2室1厅 南'],289,37626,"['通州', '潞苑']",2室1厅1厨1卫,高楼层 (共28层),76.81㎡,平层,59.52㎡,板塔结合,南,钢混结构,精装,两梯四户,集中供暖,有,2023-11-28,自住型商品房,2018-10-10,普通住宅,满五年,非共有,"
                                有抵押 80万元 公积金贷款 客户偿还
                              ",已上传房本照片,,,,,,,,,,,,,,
468,['M101+通州北关+全南向两居+金地物业+2015年新社区'],288,38126,"['通州', '北关']",2室1厅1厨1卫,中楼层 (共18层),75.54㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯四户,集中供暖,有,2023-12-01,商品房,2016-12-19,普通住宅,满五年,非共有,"
                                有抵押 60万元 公积金 客户偿还
                              ",已上传房本照片,"
                    此房满五唯一，中高楼层，楼栋不临街无遮挡，全南向采光好
                  ","
                    金地格林格林是14年的新社区，小区在通顺路与潞苑北大街交汇处，小区有通8路t111可路以到地铁6号线物资学院路站，还有公交342路，可以到6号线通州北关站。小区交通方便，还有中体盛世健身房，平价药店，商美优选市场等，基本生活需求可以满足。
                  ","
                    金地格林格林小区楼下有自己的配套市场街，铁锅炖、渔家小馆、玉博睿幼儿园，公交站，小区里面有自己的花园、儿童活动区以及健身设施。
                  ","
                    小区有公交342、通8路和T111路可以直达6号线通州北关、物资学院路地铁站，出行方便。
                  ",,"
                    此房是南向的两居室，两个卧室和客厅都朝南，整体户型方方正正，没有浪费的面积，楼栋之间，充足的楼间距，没有遮挡。房子照射时间长，光线好，居住舒适
                  ",,,,,,,,
469,['翠福园 1室1厅 南 北'],218,32073,"['通州', '北关']",1室1厅1厨1卫,低楼层 (共6层),67.97㎡,平层,暂无数据,板楼,南 北,混合结构,其他,暂无数据,集中供暖,无,2023-12-21,商品房,2007-02-05,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,,,,,,,,,,,
470,['满五年家庭就这一套住房，精装修，西向，有阳台'],155,31953,"['通州', '通州北苑']",1室1厅1厨1卫,低楼层 (共20层),48.51㎡,平层,37.24㎡,塔楼,西,钢混结构,精装,两梯十二户,集中供暖,有,2023-12-12,商品房,2017-01-09,普通住宅,满五年,非共有,"
                                有抵押 142万元 建行公积金 客户偿还
                              ",已上传房本照片,"
                    满五年家庭就这一套住房，精装修，西向，有阳台
                  ","
                    小区是顺华开发商，东光物业，民水民电有天燃气，并且是市政集中暖，小区24小时保安、每天都有保洁打扫，电梯和大堂很干净，电梯房社区，适合年轻人购买，小区二期楼下就是工行、建行、邮储等，小区旁边有物美大卖场、KFC、北机菜市场。
                  ","
                    小区门口有建行，工行，邮政，旁边有物美大卖场，生活购物方便，还有万达广场，国泰百货，华联商场,果园商圈有东直门中医院分院，有拿渡、呷哺、KFC等各类餐饮，给您的生活购物带来方便
                  ","
                    交通方便，小区门前是两广路二期直达二环路，小区门口有多条公交车站，668、669、807，等直接上京通快速，直达国贸和北京站，还有新开通的公交车312路上两广路可到大郊亭和大北窑，另外还有924、317、372、316等可供您参考
                  ",,"
                    房子户型方正，这户型有一个小阳台在东侧，可以通风，西边落地窗，可以晒衣服，西侧无高楼，视野开阔。另外这种户型厨房比较大。
                  ",,,,"
                    满五年家庭就这一套住房，如果首套购买就只承担1%契税，二套购买3%契税
                  ",,,,
471,['近果园地铁站，正规三居，小区位置好，带电梯，视野好'],575,43456,"['通州', '果园']",3室2厅1厨2卫,高楼层 (共12层),132.32㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,2023-12-08,商品房,2006-08-31,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    近果园地铁站，正规三居，小区位置好，带电梯，视野好
                  ","
                    小区是2004年建成的，开发商是“北京新世界商建房地产开发有限公司”物业是开发商旗下悦豪物业。物业管理完善，小区有24小时安保，居家生活有保障
                  ",,"
                    小区出南门右转，有668.669.924.316.591等公交供于出行。小区东门出去150米左右就是八通线果园地铁站，（百度地图可查）。每天早高峰有始发车
                  ",,"
                    楼下是南北通透的大三居，有两个独立的卫生间，储物空间大，户型格局合理。
                  ",,,,,,,,
472,['南北通透两居室 满五唯一商品房 前后无遮挡 中间层'],266,29283,"['通州', '马驹桥']",2室1厅1厨1卫,中楼层 (共14层),90.84㎡,平层,71.25㎡,板楼,南 北,钢混结构,简装,两梯四户,集中供暖,有,2023-11-30,商品房,2012-03-01,普通住宅,满五年,非共有,"
                                有抵押 20万元 客户偿还
                              ",已上传房本照片,"
                    南北通透两居室 满五唯一商品房 前后无遮挡 中间层
                  ","
                    小区开发商是北京珠江房地产开发有限公司，物业是康景物业，物业费2.48元每平米，市政集中供暖。一共25栋楼2604户，人车分流，居住舒适
                  ","
                    小区一公里范围内有永辉超市，中邦生活广场，首客生鲜。东门是小白村公交站，有八条公交线直达地铁亦庄线同济南路站。距离小米汽车，中芯国际智能产业园区3.5公里。（以上距离来源于百度地图）
                  ",,,"
                    此房是09年建成，钢混结构，南北通透，中间楼层，客厅有阳台，双卧室有飘窗。总高14层，视野开阔，布局合理，没有浪费面积
                  ",,,,,,,,
473,['高楼层非顶层 视野好 无遮挡 采光好 北面俯瞰小区花园'],363,38866,"['通州', '潞苑']",2室1厅1厨1卫,高楼层 (共10层),93.4㎡,平层,72.63㎡,板塔结合,南 北,钢混结构,简装,一梯四户,集中供暖,有,2023-12-02,商品房,2013-07-03,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    南北通透户型  视野开阔 北侧正对小区花园 无遮挡
                  ","
                    小区是珠江地产开发，环境优美，有地上停车位和地下停车位，物业费每平米1.98元，集中供暖，供暖费每平米30元。
                  ","
                    小区有北京友谊医院、社区医院、两家大型农贸市场、多家不同规模的购物商场、多样化餐厅，可满足您的多种生活需要。
                  ","
                    小区出行方便，西门450米（数据来源高德地图）公交车站有552路，675路，824路公交车，东门300米（数据来源高德地图）是公交车站潞邑西路公交站，公交车有316路，589路，388路，通7路等公交路线。
                  ",,"
                    房子是南北朝向两居室户型，客厅朝北，带飘窗，主卧室朝南，次卧室朝北，卫生间带窗户，精装修，无遮挡，采光好，视野开阔。
                  ",,,,,,,,
474,['梨园南北通透双卫两居室自住精装修一梯两户高层视野棒'],528,50267,"['通州', '梨园']",2室2厅1厨2卫,中楼层 (共17层),105.04㎡,平层,83.42㎡,板塔结合,南 北,钢混结构,精装,一梯两户,集中供暖,有,2023-12-19,商品房,2011-06-15,普通住宅,满五年,非共有,"
                                有抵押 50万元 浦发银行 客户偿还
                              ",已上传房本照片,"
                    满五唯一精装自住，人车分流南北通透双卫两居一梯两户视野棒
                  ","
                    小区是2009年成熟社区，一共15栋住宅楼，分为南北两区，有水系，有网球场和l篮球场，人车分流，24小时安保管理，外卖电车是不能进小区里的，物业费2.2元平，集中供暖30元平，带一所公立幼儿园，每月收费1150元.地上停车位150元月，地下停车位380元月
                  ","
                    1、商：物美，家乐福，贵友商厦，苏宁电器，蓝岛大厦，淘宝城.2、医院：潞河医院，东直门医院， 妇幼保健院.3、公园：大运河森林公园， 运河奥体公园，碧水公园，梨园主题公园.4、银行：工商银行，建设银行，交通银行，北京银行等.5、酒店：亚太花园.
                  ","
                    小区门口就有环保自行车和公交车，本小区距离地铁梨园站只有400米距离（百度地图），交通方便，小区北门出门多条公交线路也让您的出行很方便。806 938 587 805 807 通14路 通9路，四通八大，开车进市区都是高速直达国贸，有京通，两广路（免费），京哈等
                  ","
                    本房是业主一直自住，保持的很好，精装修，小区人车分流，人文环境好，邻里和谐，社区文化浓郁！不定期组织舞蹈，羽毛球比赛，书法赛，生活气息不错！一梯两户，居住人群大多数是上班族，白领，品质社区，适合刚结婚的小夫妻或者一家人住！
                  ",,,,,,,,,
475,['旗舰凯旋 全明户型双卫不临街不把边 采光好'],338,36740,"['通州', '九棵树(家乐福)']",2室1厅1厨2卫,中楼层 (共5层),92㎡,平层,暂无数据,板楼,南 北,混合结构,精装,暂无数据,集中供暖,无,2023-12-10,商品房,2004-08-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五年唯一，南北户型，精装修，双卫，看房方便
                  ","
                    旗舰凯旋一期是2003年建成的，物业1元每平米，市政供暖30元每平米，停车位150元每月，环境优雅安静，很适合居住。
                  ",,"
                    小区门口有552路，582路，591路，807路，924路等多路公交车，步行八通九棵树地铁1700米，步行7号线万盛西1800米
                  ",,"
                    此房正规两居，南北户型，主卧和客厅南向，主卧带落地阳台，次卧和厨房北向，两个卫生间都有窗户，一梯两户公摊小，不临街面
                  ",,,,"
                    此房为70年产权的商品房，房本满五年是业主家庭名下唯一住房，首套购房只有契税。
                  ",,,,
476,['通惠南路 2室1厅 东 西'],215,34434,"['通州', '万达']",2室1厅1厨1卫,底层 (共6层),62.44㎡,平层,暂无数据,板楼,东 西,混合结构,精装,暂无数据,集中供暖,无,2023-12-10,商品房,2015-03-18,普通住宅,满五年,非共有,"
                                有抵押 50万元 建设银行 客户偿还
                              ",已上传房本照片,,,,,,,,,,,,,,
477,['合生滨江帝景二期  南向两居室 正对花园'],448,49400,"['通州', '玉桥']",2室2厅1厨1卫,低楼层 (共18层),90.69㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯四户,集中供暖,有,2023-12-13,商品房,2018-11-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    房子满五年唯一，正对小区内部花园，视野开阔不遮挡，采光好。
                  ","
                    小区2016年建成，70年产权，纯商品房，品质社区，主力户型是两居和三居室，没有小户型；开发商是北京合生绿洲房地产开发有限公司；康景物业，物业费2.98元每平米；市政集中供暖，24元每平米，小区车位充足，可租可售
                  ","
                    城市绿心公园，京杭大运河，碧水公园，妇幼医院，卜蜂莲花，居然之家等
                  ",,,"
                    合生滨江帝景二期是2016年建成的，本房是两居室，南向的户型，客厅落地窗，主卧室带飘窗，厨房带阳台，两个卧室面积都在12平方以上，采光充足，位于小区中间的位子，安静舒适，适合居住。
                  ",,,,,,,,
478,['蓝调沙龙东区 板楼南北通透一居 精装家具家电'],236,39859,"['通州', '九棵树(家乐福)']",1室1厅1厨1卫,顶层 (共4层),59.21㎡,平层,51.38㎡,板塔结合,南 北,混合结构,精装,暂无数据,集中供暖,无,2023-12-21,商品房,2012-05-24,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五年唯一，南北通透正规一居，精装修拎包入住
                  ","
                    2005年-2006年建成，东区总共18栋楼，以六层小板楼和电梯小高板为主，小区环境好，小区中间有花园可以供业主们休闲，该小区物业费板楼0.9元/平米月，电梯房1.5元/平米月，供暖费30元/平米供暖季，停车位是150元/月
                  ","
                    小区位于地铁八通线九棵树站614米（距离来源百度），小区的东边是通马路，顺着通马路可以上京哈高速，顺着小区向西北方向走可以上两广路和京通快速路，小区门口还有公交站552.582.通11.通12等，不管是公共交通出行还是开车出行都便利
                  ","
                    小区东北侧有家乐福超市、太阳花酒店、京通罗斯福广场、地铁八通线九棵树站614米（距离来源百度），小区的西南边有东直门医院东区等
                  ",,"
                    房子是南北通透正规一居，南向大落地窗 卧室南向 房子户型方正 采光好无遮挡
                  ","
                    房子无抵押，房本是一个人的名字，交易手续比较交单，业主卖房是外地改善
                  ",,,,,,,
479,['运河湾价格低 南向大开间 装修好 随时可看 诚意出售'],279,52228,"['通州', '武夷花园']",1室0厅1厨1卫,底层 (共24层),53.42㎡,平层,41.1㎡,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,2023-12-08,商品房,2019-09-23,普通住宅,满两年,共有,"
                                有抵押 162万元
                              ",已上传房本照片,"
                    此房原值高，南向，采光不受影响，无遮挡，格局合理
                  ","
                    运河湾是楼龄比较新的商品房社区，小区保安24小时巡逻，人车分流，地上车位150元/月、地下车位400元/月，安全舒适。物业是新华联开发商自己的物业公司悦豪物业，物业费2.5元/平/月，小区集中供暖。
                  ","
                    小区位置好，西侧即为京杭大运河，挨着运河奥体公园，北边有通州区图书馆和文化馆，交通方便。小区过运河就是地铁六号线北运河西站，出行方便
                  ","
                    小区门口有552.809.通46路等多路公交车，可以直达国贸等地方，小区的西面过运河就是地铁6号线北运河西地铁站
                  ",,,,,,,,,,
480,['高楼层非顶层 视野好 无遮挡 采光好 北面俯瞰小区花园'],363,38866,"['通州', '潞苑']",2室1厅1厨1卫,高楼层 (共10层),93.4㎡,平层,72.63㎡,板塔结合,南 北,钢混结构,简装,一梯四户,集中供暖,有,2023-12-02,商品房,2013-07-03,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    南北通透户型  视野开阔 北侧正对小区花园 无遮挡
                  ","
                    小区是珠江地产开发，环境优美，有地上停车位和地下停车位，物业费每平米1.98元，集中供暖，供暖费每平米30元。
                  ","
                    小区有北京友谊医院、社区医院、两家大型农贸市场、多家不同规模的购物商场、多样化餐厅，可满足您的多种生活需要。
                  ","
                    小区出行方便，西门450米（数据来源高德地图）公交车站有552路，675路，824路公交车，东门300米（数据来源高德地图）是公交车站潞邑西路公交站，公交车有316路，589路，388路，通7路等公交路线。
                  ",,"
                    房子是南北朝向两居室户型，客厅朝北，带飘窗，主卧室朝南，次卧室朝北，卫生间带窗户，精装修，无遮挡，采光好，视野开阔。
                  ",,,,,,,,
481,['运河湾价格低 南向大开间 装修好 随时可看 诚意出售'],279,52228,"['通州', '武夷花园']",1室0厅1厨1卫,底层 (共24层),53.42㎡,平层,41.1㎡,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,2023-12-08,商品房,2019-09-23,普通住宅,满两年,共有,"
                                有抵押 162万元
                              ",已上传房本照片,"
                    此房原值高，南向，采光不受影响，无遮挡，格局合理
                  ","
                    运河湾是楼龄比较新的商品房社区，小区保安24小时巡逻，人车分流，地上车位150元/月、地下车位400元/月，安全舒适。物业是新华联开发商自己的物业公司悦豪物业，物业费2.5元/平/月，小区集中供暖。
                  ","
                    小区位置好，西侧即为京杭大运河，挨着运河奥体公园，北边有通州区图书馆和文化馆，交通方便。小区过运河就是地铁六号线北运河西站，出行方便
                  ","
                    小区门口有552.809.通46路等多路公交车，可以直达国贸等地方，小区的西面过运河就是地铁6号线北运河西地铁站
                  ",,,,,,,,,,
482,['蓝调沙龙东区 板楼南北通透一居 精装家具家电'],236,39859,"['通州', '九棵树(家乐福)']",1室1厅1厨1卫,顶层 (共4层),59.21㎡,平层,51.38㎡,板塔结合,南 北,混合结构,精装,暂无数据,集中供暖,无,2023-12-21,商品房,2012-05-24,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五年唯一，南北通透正规一居，精装修拎包入住
                  ","
                    2005年-2006年建成，东区总共18栋楼，以六层小板楼和电梯小高板为主，小区环境好，小区中间有花园可以供业主们休闲，该小区物业费板楼0.9元/平米月，电梯房1.5元/平米月，供暖费30元/平米供暖季，停车位是150元/月
                  ","
                    小区位于地铁八通线九棵树站614米（距离来源百度），小区的东边是通马路，顺着通马路可以上京哈高速，顺着小区向西北方向走可以上两广路和京通快速路，小区门口还有公交站552.582.通11.通12等，不管是公共交通出行还是开车出行都便利
                  ","
                    小区东北侧有家乐福超市、太阳花酒店、京通罗斯福广场、地铁八通线九棵树站614米（距离来源百度），小区的西南边有东直门医院东区等
                  ",,"
                    房子是南北通透正规一居，南向大落地窗 卧室南向 房子户型方正 采光好无遮挡
                  ","
                    房子无抵押，房本是一个人的名字，交易手续比较交单，业主卖房是外地改善
                  ",,,,,,,
483,['梨园南北通透双卫两居室自住精装修一梯两户高层视野棒'],528,50267,"['通州', '梨园']",2室2厅1厨2卫,中楼层 (共17层),105.04㎡,平层,83.42㎡,板塔结合,南 北,钢混结构,精装,一梯两户,集中供暖,有,2023-12-19,商品房,2011-06-15,普通住宅,满五年,非共有,"
                                有抵押 50万元 浦发银行 客户偿还
                              ",已上传房本照片,"
                    满五唯一精装自住，人车分流南北通透双卫两居一梯两户视野棒
                  ","
                    小区是2009年成熟社区，一共15栋住宅楼，分为南北两区，有水系，有网球场和l篮球场，人车分流，24小时安保管理，外卖电车是不能进小区里的，物业费2.2元平，集中供暖30元平，带一所公立幼儿园，每月收费1150元.地上停车位150元月，地下停车位380元月
                  ","
                    1、商：物美，家乐福，贵友商厦，苏宁电器，蓝岛大厦，淘宝城.2、医院：潞河医院，东直门医院， 妇幼保健院.3、公园：大运河森林公园， 运河奥体公园，碧水公园，梨园主题公园.4、银行：工商银行，建设银行，交通银行，北京银行等.5、酒店：亚太花园.
                  ","
                    小区门口就有环保自行车和公交车，本小区距离地铁梨园站只有400米距离（百度地图），交通方便，小区北门出门多条公交线路也让您的出行很方便。806 938 587 805 807 通14路 通9路，四通八大，开车进市区都是高速直达国贸，有京通，两广路（免费），京哈等
                  ","
                    本房是业主一直自住，保持的很好，精装修，小区人车分流，人文环境好，邻里和谐，社区文化浓郁！不定期组织舞蹈，羽毛球比赛，书法赛，生活气息不错！一梯两户，居住人群大多数是上班族，白领，品质社区，适合刚结婚的小夫妻或者一家人住！
                  ",,,,,,,,,
484,['满五唯一 高楼层视野开阔 采光充足 看方便'],520,46375,"['通州', '玉桥']",3室1厅1厨2卫,高楼层 (共27层),112.13㎡,平层,89.53㎡,板楼,南,钢混结构,精装,两梯三户,集中供暖,有,2023-11-30,商品房,2018-08-28,普通住宅,满五年,共有,"
                                有抵押 60万元 业主自还
                              ",已上传房本照片,"
                    业主诚心出售 电梯三居室精装修 适合居住
                  ","
                    本小区是合生创展在通州打造的新型居住社区，环境好，绿化35% 人车分流 近运河，交通便利 两公里以内地铁 公交 市场 公园 医院 京杭大运河。
                  ","
                    小区东边有京杭大运河，城市绿心公园，大运河森林公园，西边有八通地铁，妇幼医院，建设银行，工商银行，邮政储蓄银行等，北侧邻运河西大街（运通隧道）6号线地铁，南侧有碧水公园。
                  ",,,"
                    房子是南向的三居室，主卧室有独立卫生间，高楼层卧室和客厅采光好，精装修拎包入住。
                  ",,,,"
                    此房为满五年唯一 首套需要缴纳1.5%的契税 二套缴纳3% 解约购房成本。
                  ",,,,
485,['北人家园 光线好 无遮挡 业主诚心出售'],310,41830,"['通州', '万达']",2室1厅1厨1卫,高楼层 (共21层),74.11㎡,平层,暂无数据,塔楼,东 南,钢混结构,简装,两梯六户,集中供暖,有,2023-12-15,二类经济适用房,2018-11-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    北人家园 电梯两居 满五年唯一
                  ","
                    环境不错，小区绿化 率30%，小区容 积2.2，小区地上地下停车位，地下停车450元/月，地上停车350元/月，小区自持物业，物业费2.7元/平，小区24小时保安。
                  ","
                    房子位于运河地铁西边，潞河医院东边，有万达广场。小区南行100米有菜市场，南行200米有京客隆超市，西行500米有潞河医院和骨伤医院，配套齐全。
                  ",,,,"
                    产权清晰 房子无抵押，无在还贷款，一个人房本，家人同意出售房
                  ","
                    北人家园是住总集团建设的，2018年建成交房，业主都是北人职工，计算满五年限是按照契税票日期所以小区有满五年的房子。房本是二类经适，小区绿化做的不错，媲美在售新房项目。
                  ",,,,,,
